V1	V2	V3	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me1	DAY4_H3K4me1	DAY0_H3K4me3	DAY4_H3K4me3	H3K27ac_FC	H3K4me1_FC	H3K4me3_FC	RNA_FC	padj
chr4	43380979	43382979	Rusc2	8	13	6	11	15	15	1.625	1.83333333333333	1	1.398785481436	4.28415401039656e-07
chr1	159339283	159341283	Scarna3a	6	6	4	4	2	3	1	1	1.5	-2.79256703561018	0.267340952488595
chr7	44248852	44250852	Snord88c	9	7	6	9	7	10	-1.28571428571429	1.5	1.42857142857143	-3.80693141696452	0.464566745665795
chr7	127526874	127528874	Snora30	9	13	5	7	13	10	1.44444444444444	1.4	-1.3	-1.26905387150815	0.865035201380012
chr13	95329600	95331600	Snora47	3	7	10	8	6	6	2.33333333333333	-1.25	1	2.15892542937803	0.717383795435942
chr1	63178004	63180004	Snora41	5	12	4	14	16	14	2.4	3.5	-1.14285714285714	1.60647628808644	0.166568412781855
chr11	74904424	74906424	Snord91a	6	5	4	9	8	8	-1.2	2.25	1	1.02334717498605	0.982650455249505
chr2	84658079	84660079	Btbd18	5	7	8	17	5	14	1.4	2.125	2.8	-1.5603142449721	0.680109985553585
chr2	181577480	181579480	Uckl1os	2	15	7	5	6	12	7.5	-1.4	2	3.33928491896865	0.0102762955949304
chr7	28350508	28352508	AF357399	8	17	11	11	15	26	2.125	1	1.73333333333333	1.94101818407745	0.470117242609357
chr17	12921790	12923790	Snora20	6	10	6	12	12	3	1.66666666666667	2	-4	-1.28146908617722	0.873860771489324
chr14	75846905	75848905	Snora31	3	11	6	14	10	6	3.66666666666667	2.33333333333333	-1.66666666666667	-1.26798963773615	0.702769698079615
chr13	17746473	17748473	Mir466i	4	12	8	11	6	7	3	1.375	1.16666666666667	-1.89158056736649	0.785537371142841
chr8	105614466	105616466	Mir1966	5	9	5	11	3	8	1.8	2.2	2.66666666666667	1.0036759895377	0.997978989306964
chr4	126752544	126754544	AU040320	7	7	6	9	13	11	1	1.5	-1.18181818181818	1.13305775552867	0.0405543465710307
chr4	133479132	133481132	Tent5b	6	10	7	8	8	9	1.66666666666667	1.14285714285714	1.125	-2.35508447002707	9.5376159913327e-17
chr11	4917510	4919510	AA413626	5	9	10	5	10	5	1.8	-2	-2	1.48483603867162	0.440829307356954
chr7	110045364	110047364	Snora23	1	4	4	6	4	6	4	1.5	1.5	1.67524381585696	0.464566745665795
chr1	63113471	63115471	Ino80dos	7	12	2	3	20	20	1.71428571428571	1.5	1	-1.39613246849127	0.0253869501671443
chr4	156202284	156204284	AW011738	2	5	3	7	20	7	2.5	2.33333333333333	-2.85714285714286	-1.13891632066307	0.530914330633753
chr4	129460581	129462581	Bsdc1	5	10	3	8	15	9	2	2.66666666666667	-1.66666666666667	1.65655112027712	8.32857201191112e-32
chr17	47686610	47688610	Tomm6os	5	16	4	11	16	12	3.2	2.75	-1.33333333333333	-1.35288668268565	0.130202878255663
chr4	53439413	53441413	Slc44a1	6	18	9	12	23	10	3	1.33333333333333	-2.3	1.58311858716445	4.15197266661328e-76
chr4	115827092	115829092	Mob3c	7	14	4	11	14	9	2	2.75	-1.55555555555556	-1.32904110677735	0.000117317205506331
chr8	57650757	57652757	AW046200	3	16	5	10	20	14	5.33333333333333	2	-1.42857142857143	-1.07847615812892	0.875529784540791
chr2	120849705	120851705	AV039307	5	12	3	4	16	11	2.4	1.33333333333333	-1.45454545454545	1.54123557814783	0.131226309271193
chr18	77937465	77939465	Epg5	4	15	3	13	17	11	3.75	4.33333333333333	-1.54545454545455	1.09127679484285	0.0737854131495386
chr5	107436997	107438997	Btbd8	6	22	7	14	15	9	3.66666666666667	2	-1.66666666666667	-1.2740937432754	0.0275229885556272
chr18	35552371	35554371	Snhg4	7	14	10	9	16	13	2	-1.11111111111111	-1.23076923076923	-1.0898076224734	0.118784030832659
chr1	136695211	136697211	Platr22	13	22	21	17	12	18	1.69230769230769	-1.23529411764706	1.5	-2.29657473922246	0.0559795591898987
chr14	65597546	65599546	Nuggc	6	22	12	14	8	5	3.66666666666667	1.16666666666667	-1.6	3.22345058782508	2.41774532365347e-05
chr4	11578665	11580665	Fsbp	10	6	8	7	3	7	-1.66666666666667	-1.14285714285714	2.33333333333333	-4.55642046446487	1.0175465313781e-07
chr5	107899502	107901502	Rpl5	7	14	4	7	12	15	2	1.75	1.25	1.6355000967159	2.32258048131835e-28
chr2	72978424	72980424	Sp3os	2	9	3	7	19	17	4.5	2.33333333333333	-1.11764705882353	-1.54337679565708	1.30478421487497e-06
chr8	3620548	3622548	Pet100	5	12	5	4	18	10	2.4	-1.25	-1.8	1.30078855985941	0.000159701970267148
chr15	76293348	76295348	Smpd5	2	5	6	8	17	5	2.5	1.33333333333333	-3.4	-2.75815227290645	0.0138123330312545
chr2	175469063	175471063	Zfp965	8	14	7	11	23	18	1.75	1.57142857142857	-1.27777777777778	-1.00220475091229	0.980653682077097
chr2	27441324	27443324	Brd3os	9	16	4	11	22	12	1.77777777777778	2.75	-1.83333333333333	1.10705147051626	0.178663779376338
chr2	153778931	153780931	Efcab8	6	5	9	8	7	3	-1.2	-1.125	-2.33333333333333	-3.45719671016811	0.0535659466451962
chr10	4481502	4483502	Ccdc170	9	18	13	18	15	9	2	1.38461538461538	-1.66666666666667	-1.25697597376463	0.102163348544213
chr12	70153142	70155142	Abhd12b	4	4	7	6	4	4	1	-1.16666666666667	1	8.95991595062942	0.217434219700144
chr4	40268579	40270579	Smim27	4	13	4	6	25	13	3.25	1.5	-1.92307692307692	1.13292780722082	0.197502287313998
chr10	116472163	116474163	Kcnmb4os2	7	9	6	7	11	10	1.28571428571429	1.16666666666667	-1.1	-2.47347454926266	0.188192189701056
chr17	56769276	56771276	Prr22	11	9	6	6	8	11	-1.22222222222222	1	1.375	-1.02402577056222	0.928991440816855
chr9	114400105	114402105	Tmppe	8	8	9	7	27	14	1	-1.28571428571429	-1.92857142857143	1.19293036231587	0.0281412785411965
chr1	36371291	36373291	Fer1l5	6	8	12	12	7	16	1.33333333333333	1	2.28571428571429	1.33847146014555	0.047462817160654
chr3	83126948	83128948	Dchs2	2	6	5	4	4	9	3	-1.25	2.25	8.59873211639974	0
chr5	105518388	105520388	Lrrc8c	10	9	2	6	11	11	-1.11111111111111	3	1	1.09998145384298	0.0119740645394561
chr5	135368953	135370953	Nsun5	5	18	10	14	24	18	3.6	1.4	-1.33333333333333	-1.00966722839141	0.930368327627013
chr5	136037496	136039496	Upk3b	5	9	6	13	9	4	1.8	2.16666666666667	-2.25	-4.69935831261044	0.634209999860387
chr5	144767092	144769092	Trrap	11	11	8	16	23	12	1	2	-1.91666666666667	-1.12562292039924	0.0157895206250568
chr5	114145535	114147535	Acacb	4	2	8	4	10	4	-2	-2	-2.5	-1.71782090642142	0.0540034374108526
chr5	150672739	150674739	Pds5b	3	13	6	4	24	14	4.33333333333333	-1.5	-1.71428571428571	-1.25482289996573	3.43819300187532e-19
chr5	30813641	30815641	Mapre3	2	9	9	12	10	10	4.5	1.33333333333333	1	2.61315993091218	4.80828361131915e-142
chr5	114064514	114066514	Usp30	5	2	2	7	7	2	-2.5	3.5	-3.5	-1.09354908129819	0.085258966020704
chr5	29568242	29570242	Ube3c	3	8	8	6	25	12	2.66666666666667	-1.33333333333333	-2.08333333333333	-1.04335860263292	0.0718332698073113
chr14	69336190	69338190	Entpd4b	5	13	10	5	15	10	2.6	-2	-1.5	1.95753035661908	6.84444065815857e-43
chr5	24585741	24587741	Chpf2	9	22	12	8	29	18	2.44444444444444	-1.5	-1.61111111111111	2.04047182091812	4.44258629501458e-53
chr5	130254619	130256619	Tyw1	16	16	8	14	19	24	1	1.75	1.26315789473684	-1.09580971193663	0.139456042218684
chr5	30912402	30914402	Emilin1	7	14	3	16	13	10	2	5.33333333333333	-1.3	-1.36705506740474	4.63458510211438e-21
chr5	3927054	3929054	Akap9	5	11	4	9	17	12	2.2	2.25	-1.41666666666667	1.93490825870783	2.71153130647111e-15
chr4	145509759	145511759	Zfp990	6	6	5	6	9	8	1	1.2	-1.125	1.79090124791275	2.79956425514718e-05
chr6	47876204	47878204	Zfp282	4	17	5	8	14	19	4.25	1.6	1.35714285714286	1.0727352412641	0.0414617018373103
chr6	113388260	113390260	Ttll3	4	9	12	10	5	3	2.25	-1.2	-1.66666666666667	-1.1515224054773	0.151184286446232
chr2	164784823	164786823	Snx21	5	16	4	15	29	14	3.2	3.75	-2.07142857142857	1.24236773111239	6.25159557981962e-10
chr6	127445840	127447840	Parp11	5	14	7	14	17	17	2.8	2	1	1.11314193336789	0.0543790002835846
chr6	47952390	47954390	Zfp956	13	12	8	13	20	15	-1.08333333333333	1.625	-1.33333333333333	-1.38244748788108	8.97241009955446e-06
chr6	113603772	113605772	Brk1	5	21	8	17	21	17	4.2	2.125	-1.23529411764706	-1.08706457420127	0.0029530697262553
chr6	119478668	119480668	Fbxl14	3	10	8	7	15	15	3.33333333333333	-1.14285714285714	1	-1.37203623124133	1.17504050597093e-21
chr7	141227784	141229784	Phrf1	2	7	2	10	16	8	3.5	5	-2	-1.02915581333254	0.641719591860405
chr7	130864756	130866756	Plekha1	4	13	6	5	19	9	3.25	-1.2	-2.11111111111111	1.94765488539337	2.37565059070492e-63
chr7	140855957	140857957	Ric8a	5	13	1	3	25	12	2.6	3	-2.08333333333333	1.50191216346398	7.80903329263097e-22
chr7	128610328	128612328	Inpp5f	4	10	6	8	13	16	2.5	1.33333333333333	1.23076923076923	-1.35132429655984	1.00624172073115e-10
chr7	127798391	127800391	Hsd3b7	5	7	6	4	9	5	1.4	-1.5	-1.8	1.63298839833129	3.94343416809777e-18
chr7	16841902	16843902	Prkd2	8	20	14	9	18	21	2.5	-1.55555555555556	1.16666666666667	1.13796906330098	0.00532018720107532
chr7	118711552	118713552	Ccp110	7	9	4	4	16	16	1.28571428571429	1	1	1.03537895909287	0.71187103766002
chr7	44747413	44749413	Vrk3	6	9	6	11	21	11	1.5	1.83333333333333	-1.90909090909091	-1.07197068831904	0.413984286834464
chr7	82647614	82649614	Efl1	9	13	5	14	22	16	1.44444444444444	2.8	-1.375	-1.16101103371303	0.00834067582206314
chr7	127090359	127092359	AI467606	7	9	9	16	4	1	1.28571428571429	1.77777777777778	-4	7.18011177092839	3.07086763832404e-19
chr7	139247482	139249482	Pwwp2b	5	18	8	15	18	19	3.6	1.875	1.05555555555556	1.19907727900805	7.44700476884308e-07
chr7	101933111	101935111	Numa1	6	12	8	11	19	22	2	1.375	1.15789473684211	-1.04014980319991	0.162333429910466
chr7	97479956	97481956	Ints4	6	9	5	10	16	17	1.5	2	1.0625	-1.11992630963954	0.00684025803525545
chr7	30562344	30564344	Igflr1	5	10	4	13	25	14	2	3.25	-1.78571428571429	-36.6031096621829	0.305152476766021
chr8	95331284	95333284	Usb1	7	9	3	4	21	16	1.28571428571429	1.33333333333333	-1.3125	1.07496998691944	0.241773914498128
chr8	13868641	13870641	Champ1	2	9	9	14	22	16	4.5	1.55555555555556	-1.375	-1.31438617851734	5.29263263479813e-17
chr8	84830522	84832522	Gadd45gip1	11	14	13	10	18	13	1.27272727272727	-1.3	-1.38461538461538	-1.06272559445358	0.176431343570078
chr8	105372274	105374274	Plekhg4	5	17	9	13	7	8	3.4	1.44444444444444	1.14285714285714	-1.31901877287606	0.000273391177703558
chr8	85839959	85841959	Phkb	5	9	5	9	22	15	1.8	1.8	-1.46666666666667	-1.02732672078718	0.58926530195502
chr8	3352415	3354415	Arhgef18	3	9	6	8	7	3	3	1.33333333333333	-2.33333333333333	1.0060462567255	0.896452566149003
chr10	81383428	81385428	Dohh	16	22	5	10	17	16	1.375	2	-1.0625	-1.03947294598003	0.284679196858505
chr8	77548397	77550397	Prmt9	7	18	7	9	12	14	2.57142857142857	1.28571428571429	1.16666666666667	1.07794940410832	0.0990745478520347
chr8	4252080	4254080	Snapc2	5	17	7	10	25	13	3.4	1.42857142857143	-1.92307692307692	-1.09039658127374	0.0444526442569193
chr13	100649979	100651979	Ak6	4	17	6	7	17	17	4.25	1.16666666666667	1	1.01952138698819	0.643912371841548
chr19	8882732	8884732	Lbhd1	14	12	8	14	18	14	-1.16666666666667	1.75	-1.28571428571429	-1.42967548059653	0.163000270905291
chr8	110845600	110847600	Cog4	3	14	3	12	31	21	4.66666666666667	4	-1.47619047619048	-1.01690940795195	0.616392593664398
chr9	123365927	123367927	Lars2	5	5	5	12	11	10	1	2.4	-1.1	2.37422560585451	0.00230330980304734
chr9	64810340	64812340	Dennd4a	6	10	5	14	14	7	1.66666666666667	2.8	-2	-1.11499866322825	6.0621682304349e-05
chr7	102064511	102066511	Xndc1	3	12	6	5	19	20	4	-1.2	1.05263157894737	-1.15811765166852	0.0117489785575707
chr7	102064713	102066713	Xntrpc	4	10	7	5	16	20	2.5	-1.4	1.25	2.07708371356441	0.00607957051763389
chr9	119356381	119358381	Xylb	4	7	7	2	7	11	1.75	-3.5	1.57142857142857	1.23273041121125	0.0421304219243771
chr9	56936475	56938475	Imp3	3	13	4	8	27	13	4.33333333333333	2	-2.07692307692308	1.03408233174906	0.501430297496786
chr19	41587651	41589651	Mir8091	5	7	3	6	5	5	1.4	2	1	1.54827969214085	0.593177794288613
chr17	35250289	35252289	Mir8094	6	7	3	5	8	2	1.16666666666667	1.66666666666667	-4	-1.23528179897242	0.746639780416599
chr9	110280287	110282287	Mir6236	7	6	9	11	14	7	-1.16666666666667	1.22222222222222	-2	16.1491675543653	0.0204087925372934
chr11	97743897	97745897	Mir8102	4	16	2	11	8	10	4	5.5	1.25	-1.20838852479519	0.924632042719232
chr9	50774019	50776019	Alg9	4	17	8	15	23	16	4.25	1.875	-1.4375	1.00598733064603	0.921898616101916
chr9	30426108	30428108	Snx19	5	10	5	4	9	12	2	-1.25	1.33333333333333	1.18267293469544	1.36766735011009e-07
chr9	104062377	104064377	Acad11	4	10	5	5	13	15	2.5	1	1.15384615384615	-1.19012876197665	6.81725415487039e-06
chr2	73583850	73585850	Chrna1os	7	12	5	4	14	12	1.71428571428571	-1.25	-1.16666666666667	2.80187903000759	3.02068590328644e-18
chr11	17952970	17954970	Etaa1os	4	7	10	9	24	14	1.75	-1.11111111111111	-1.71428571428571	-1.41794633959932	0.258043707797549
chr6	52101949	52103949	Halr1	5	15	11	20	10	8	3	1.81818181818182	-1.25	1.66432900047416	0.627745845758079
chr16	18216879	18218879	Ccdc188	3	7	6	1	1	5	2.33333333333333	-6	5	5.00479739645292	0.0283978838811649
chr15	85652616	85654616	Lncppara	5	21	6	9	10	7	4.2	1.5	-1.42857142857143	1.41939704266568	0.0103519774922548
chr10	103366808	103368808	Slc6a15	2	11	2	9	5	2	5.5	4.5	-2.5	3.67986257265758	0.325473182976836
chr10	128302335	128304335	Pan2	2	12	3	11	11	14	6	3.66666666666667	1.27272727272727	1.5706115895606	7.93737063043126e-38
chr10	85828494	85830494	Pwp1	9	16	11	16	33	15	1.77777777777778	1.45454545454545	-2.2	-1.14313705330374	0.000105807734558362
chr10	127758787	127760787	Rdh9	1	7	7	11	5	6	7	1.57142857142857	1.2	-2.13715361370333	0.018895409458735
chr10	75400115	75402115	Upb1	2	14	9	11	12	10	7	1.22222222222222	-1.2	-1.13270021931693	0.921344426822187
chr10	75932130	75934130	Chchd10	5	11	10	15	14	6	2.2	1.5	-2.33333333333333	-2.24622242042671	0.0351484302100601
chr10	39611934	39613934	Traf3ip2	12	19	5	13	20	16	1.58333333333333	2.6	-1.25	1.10855279034389	0.241750771337389
chr10	86704811	86706811	Ttc41	6	12	2	5	27	19	2	2.5	-1.42105263157895	1.00254038328229	0.992112460895853
chr10	80621838	80623838	Csnk1g2	1	12	2	3	16	16	12	1.5	1	-1.01246177584043	0.758291924283408
chr10	85101627	85103627	Tmem263	9	15	2	8	8	14	1.66666666666667	4	1.75	2.27373879106679	7.72109778021528e-176
chr10	81232155	81234155	Zfr2	4	11	6	11	15	16	2.75	1.83333333333333	1.06666666666667	1.056425540676	0.542216308116517
chr10	86762972	86764972	Nt5dc3	11	15	18	13	10	4	1.36363636363636	-1.38461538461538	-2.5	1.48366101383225	3.77262584124913e-40
chr11	50209890	50211890	Mgat4b	7	13	7	12	17	19	1.85714285714286	1.71428571428571	1.11764705882353	-1.48908470458493	1.63676061911611e-42
chr11	93884852	93886852	Mbtd1	6	9	3	6	15	9	1.5	2	-1.66666666666667	1.00604832943037	0.900898033145632
chr11	30770726	30772726	Psme4	3	14	4	12	20	16	4.66666666666667	3	-1.25	1.59690408762346	1.25984050616549e-108
chr11	23255041	23257041	Xpo1	4	10	5	3	16	14	2.5	-1.66666666666667	-1.14285714285714	-1.75561611081725	1.75111522942914e-60
chr11	32641724	32643724	Fbxw11	6	17	7	6	13	12	2.83333333333333	-1.16666666666667	-1.08333333333333	-1.05870144426448	0.0959236951260679
chr11	4185789	4187789	Tbc1d10a	7	15	10	16	14	18	2.14285714285714	1.6	1.28571428571429	1.56778630929886	2.99811579298169e-34
chr11	101118938	101120938	Tubg1	2	15	3	13	26	18	7.5	4.33333333333333	-1.44444444444444	-1.325598276582	1.17006646526477e-17
chr11	80809175	80811175	Tmem98	4	13	9	13	14	11	3.25	1.44444444444444	-1.27272727272727	1.05097195515837	0.208196178769781
chr11	22511088	22513088	Tmem17	5	13	3	13	16	15	2.6	4.33333333333333	-1.06666666666667	-1.30648938290614	0.00910308569646339
chr11	101154907	101156907	Tubg2	7	11	4	17	19	8	1.57142857142857	4.25	-2.375	-1.15259038822471	0.325314041283804
chr11	58306069	58308069	Zfp692	6	7	8	11	17	11	1.16666666666667	1.375	-1.54545454545455	1.11575796967913	0.0504581288858386
chr11	88098146	88100146	Cuedc1	1	17	8	10	17	8	17	1.25	-2.125	1.19506941081026	5.29447761527426e-05
chr11	59838447	59840447	Nt5m	6	13	6	11	22	12	2.16666666666667	1.83333333333333	-1.83333333333333	1.1667005159375	0.00153091746133988
chr11	96350631	96352631	Hoxb2	4	8	6	9	5	3	2	1.5	-1.66666666666667	-1.79164040715221	0.660810764396093
chr6	88083482	88085482	Rpn1	7	10	6	10	25	15	1.42857142857143	1.66666666666667	-1.66666666666667	1.48775020901415	4.38312305096245e-84
chr18	63707685	63709685	Wdr7	8	14	11	12	15	15	1.75	1.09090909090909	1	1.44440253718488	2.80008953562069e-18
chr1	74712574	74714574	Cyp27a1	5	4	6	5	9	7	-1.25	-1.2	-1.28571428571429	1.15027770290469	0.636331507451635
chr9	118605690	118607690	Itga9	3	9	2	5	9	9	3	2.5	1	-2.39849633797657	3.2897305463188e-27
chr17	12740311	12742311	Airn	7	15	12	14	17	9	2.14285714285714	1.16666666666667	-1.88888888888889	1.46568647328582	0.000267073426217355
chr12	4132103	4134103	Adcy3	4	10	3	8	16	13	2.5	2.66666666666667	-1.23076923076923	-1.06524909119369	0.0845879235405637
chr7	126247862	126249862	Sbk1	2	5	5	15	8	7	2.5	3	-1.14285714285714	1.76908296585539	6.4194724378854e-44
chr11	76923809	76925809	Blmh	3	12	8	9	6	6	4	1.125	1	1.0132387393297	0.787212259435002
chr17	86962082	86964082	Rhoq	4	13	3	3	19	21	3.25	1	1.10526315789474	1.54015082722828	1.39908211725954e-113
chr10	88729858	88731858	Arl1	2	13	5	10	20	16	6.5	2	-1.25	1.75335271408366	1.60658707019736e-134
chr8	123517834	123519834	Gas8	9	12	16	12	19	14	1.33333333333333	-1.33333333333333	-1.35714285714286	-1.07310173099944	0.094113144221669
chr9	55537672	55539672	Isl2	4	8	5	8	10	8	2	1.6	-1.25	-1.00543754013023	0.971033183813586
chr19	7266325	7268325	Rcor2	9	8	9	14	16	13	-1.125	1.55555555555556	-1.23076923076923	5.39904501601413	0
chr8	105296663	105298663	E2f4	9	17	4	5	25	13	1.88888888888889	1.25	-1.92307692307692	-1.2351460737721	4.69086204346467e-09
chr14	31250450	31252450	Bap1	6	13	4	11	14	13	2.16666666666667	2.75	-1.07692307692308	1.06713603696004	0.0140384385325309
chr9	120129415	120131415	Snora62	10	11	3	4	10	9	1.1	1.33333333333333	-1.11111111111111	-1.13183400781296	0.941359315895029
chr15	78841624	78843624	Cdc42ep1	11	17	9	14	21	11	1.54545454545455	1.55555555555556	-1.90909090909091	1.36478282140935	6.66177290417353e-38
chr11	29171890	29173890	Ppp4r3b	6	14	2	6	17	22	2.33333333333333	3	1.29411764705882	1.27770909497806	4.03164273876735e-22
chr11	103648570	103650570	Rprml	1	2	7	4	7	3	2	-1.75	-2.33333333333333	4.00509602200232	0.00124273865820826
chr11	74897071	74899071	Tsr1	9	18	7	13	23	22	2	1.85714285714286	-1.04545454545455	1.07077631670449	0.0818234203104697
chr12	113155421	113157421	Tedc1	5	11	6	4	12	6	2.2	-1.5	-2	-1.94516931284156	3.09525833333723e-21
chr12	112759655	112761655	Pld4	4	8	4	6	4	4	2	1.5	1	1.10129049774317	0.942744999766389
chr12	72084589	72086589	Jkamp	9	9	6	3	12	10	1	-2	-1.2	1.49295313342121	6.97512810939954e-31
chr12	65074603	65076603	Fancm	8	12	5	7	19	16	1.5	1.4	-1.1875	1.00104886008985	0.994471506718764
chr12	110888264	110890264	Tecpr2	3	13	3	6	12	11	4.33333333333333	2	-1.09090909090909	1.05466847742313	0.32290502855689
chr12	98627157	98629157	Spata7	7	13	6	9	23	15	1.85714285714286	1.5	-1.53333333333333	-1.17878667096966	0.0235385267723763
chr12	99883517	99885517	Tdp1	6	20	6	6	15	21	3.33333333333333	1	1.4	-1.09237252359871	0.297733255355613
chr12	108835082	108837082	Slc25a47	2	13	4	10	18	12	6.5	2.5	-1.5	-1.23265651750335	0.167450840988218
chr12	28674231	28676231	Adi1	3	11	7	8	18	11	3.66666666666667	1.14285714285714	-1.63636363636364	-1.18423280459247	0.000105199451916943
chr12	84113366	84115366	Dnal1	2	9	4	6	22	16	4.5	1.5	-1.375	-1.02018694419089	0.797907085853284
chr12	10389772	10391772	Rdh14	6	9	6	4	13	10	1.5	-1.5	-1.3	1.17905950281253	0.00603225950061905
