chr	promoter_starts	promoter_ends	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me3	DAY4_H3K4me3	H3K27ac_FC	H3K4me3_FC	fragMEAN	log2FoldChange	padj
chr6	83325016	83327016	Mob1a	92	73	114	94	-1.26027397260274	-1.21276595744681	93.25	0.0290675462584593	0.347048083938135
chr17	34030682	34032682	Slc39a7	102	66	125	80	-1.54545454545455	-1.5625	93.25	1.06345329974118	4.27283859643899e-112
chr6	86403219	86405219	Tia1	99	57	93	123	-1.73684210526316	1.32258064516129	93	0.0705639498138758	0.464566745665795
chr4	55531466	55533466	Klf4	114	63	98	97	-1.80952380952381	-1.01030927835052	93	2.30426284382789	0
chr19	32756497	32758497	Pten	113	61	111	85	-1.85245901639344	-1.30588235294118	92.5	0.123253256059432	8.98008508100743e-05
chr2	13572952	13574952	Vim	103	94	97	76	-1.09574468085106	-1.27631578947368	92.5	-0.236314158926417	1.28251611198624e-09
chr11	59809016	59811016	Flcn	96	86	96	92	-1.11627906976744	-1.04347826086957	92.5	1.00451374574813	4.95882981591674e-118
chr11	98025710	98027710	Rpl19	125	96	78	70	-1.30208333333333	-1.11428571428571	92.25	0.0804926786341461	0.0974746448449036
chr2	147011996	147013996	Xrn2	83	73	109	102	-1.13698630136986	-1.06862745098039	91.75	-0.254552445973481	1.97284807150847e-11
chr6	146576835	146578835	Ints13	100	54	108	105	-1.85185185185185	-1.02857142857143	91.75	0.0803171403073956	0.216919617097489
chr4	46449902	46451902	Anp32b	119	71	101	75	-1.67605633802817	-1.34666666666667	91.5	-0.461732877135438	1.25753819755781e-24
chr6	83324908	83326908	Mthfd2	90	71	111	94	-1.26760563380282	-1.18085106382979	91.5	0.397896505784118	4.61306437806268e-07
chr4	62359548	62361548	Fkbp15	55	62	121	127	1.12727272727273	1.0495867768595	91.25	0.135695190650665	0.000118272927441657
chr11	100413836	100415836	P3h4	111	72	106	76	-1.54166666666667	-1.39473684210526	91.25	0.581805235791073	2.71440728139267e-70
chr6	38550334	38552334	Luc7l2	103	74	99	87	-1.39189189189189	-1.13793103448276	90.75	-0.0354335011180248	0.666133254412244
chr11	49202292	49204292	Zfp62	99	80	99	85	-1.2375	-1.16470588235294	90.75	0.096784614378113	0.0629162958553818
chr6	149308414	149310414	Resf1	78	78	98	109	0	1.11224489795918	90.75	0.494391971265364	2.80820049926423e-16
chr6	108659629	108661629	Bhlhe40	89	93	92	88	1.04494382022472	-1.04545454545455	90.5	1.86794160352556	0
chr11	69394487	69396487	Naa38	87	95	89	90	1.09195402298851	1.01123595505618	90.25	-0.0665862190260203	0.488112407781036
chr2	119476687	119478687	Ino80	81	81	119	80	0	-1.4875	90.25	0.223700481237536	5.45496346377845e-06
chr6	125190801	125192801	Mrpl51	86	68	108	98	-1.26470588235294	-1.10204081632653	90	-0.306657966849794	1.22919754272557e-05
chr11	120347542	120349542	Actg1	140	65	83	72	-2.15384615384615	-1.15277777777778	90	-0.512915509970005	2.41192415902441e-94
chr6	31217474	31219474	Lncpint	86	80	89	105	-1.075	1.17977528089888	90	0.799054076478445	0.142576498231323
chr6	125190701	125192701	Ncapd2	86	65	111	98	-1.32307692307692	-1.13265306122449	90	-1.43143987465863	9.31266153303081e-57
chr6	34597500	34599500	Cald1	82	80	93	104	-1.025	1.11827956989247	89.75	-0.909125243415865	2.13794260230618e-208
chr17	34897469	34899469	Ehmt2	112	59	92	96	-1.89830508474576	1.04347826086957	89.75	-0.160377653072702	6.93789372001879e-08
chr4	40721150	40723150	Dnaja1	137	67	78	77	-2.04477611940298	-1.01298701298701	89.75	0.0605819491575587	0.104169404834412
chr10	127040513	127042513	Eef1akmt3	95	70	98	96	-1.35714285714286	-1.02083333333333	89.75	1.84270995403094	2.44132614952052e-74
chr6	56796813	56798813	Kbtbd2	98	70	112	79	-1.4	-1.41772151898734	89.75	0.0327545898187176	0.580545841866115
chr4	43561691	43563691	Tln1	92	70	91	106	-1.31428571428571	1.16483516483516	89.75	0.0596458677665783	0.091041552442543
chr19	5801672	5803672	Malat1	114	100	61	84	-1.14	1.37704918032787	89.75	0.298987049201841	0.402206591084975
chr2	27885425	27887425	Col5a1	112	71	90	85	-1.57746478873239	-1.05882352941176	89.5	0.785565790215337	1.36963084557981e-96
chr11	100414697	100416697	Fkbp10	93	70	103	92	-1.32857142857143	-1.1195652173913	89.5	0.978207012175645	1.48885916178841e-151
chr4	62359727	62361727	Slc31a1	61	55	118	124	-1.10909090909091	1.05084745762712	89.5	0.894068305162505	4.80283825628183e-165
chr17	15040208	15042208	Ermard	80	70	110	98	-1.14285714285714	-1.12244897959184	89.5	-0.0571775166037545	0.523816640680136
chr6	30400868	30402868	Klhdc10	101	64	94	99	-1.578125	1.0531914893617	89.5	-0.814041185494029	6.23462818032501e-142
chr11	82780108	82782108	Lig3	107	59	106	85	-1.8135593220339	-1.24705882352941	89.25	0.426716638120223	4.38833241494799e-31
chr6	146576203	146578203	Fgfr1op2	90	59	105	103	-1.52542372881356	-1.01941747572816	89.25	0.277783140297253	1.67156844701566e-10
chr6	83076869	83078869	Pcgf1	102	58	97	100	-1.75862068965517	1.03092783505155	89.25	0.193095903610412	0.0246482973882695
chr11	5098266	5100266	Ewsr1	123	59	116	59	-2.08474576271186	-1.96610169491525	89.25	-0.0878523833107873	0.0503665802787054
chr6	85450970	85452970	Pradc1	99	43	108	107	-2.30232558139535	-1.00934579439252	89.25	-0.408423526325886	2.23262292323733e-07
chr10	79987584	79989584	Cnn2	118	96	84	58	-1.22916666666667	-1.44827586206897	89	-0.0467045407192729	0.273544798507324
chr17	34030812	34032812	Rxrb	102	63	113	78	-1.61904761904762	-1.44871794871795	89	0.653281606150075	8.58998199167098e-29
chr10	127040414	127042414	Mettl1	93	68	95	99	-1.36764705882353	1.04210526315789	88.75	0.632412018802878	6.57752444867203e-34
chr6	38874404	38876404	Tbxas1	79	67	105	104	-1.17910447761194	-1.00961538461538	88.75	3.94005802636663	8.83218609989916e-27
chr6	83053521	83055521	Aup1	78	69	92	115	-1.1304347826087	1.25	88.5	0.699137379791818	2.38202527409928e-74
chr6	50565538	50567538	Cycs	85	65	120	84	-1.30769230769231	-1.42857142857143	88.5	0.127773036613965	0.0323719594020071
chr17	17624050	17626050	Lnpep	116	61	99	78	-1.90163934426229	-1.26923076923077	88.5	0.0383893646982437	0.61527889224003
chr6	112946266	112948266	Srgap3	83	88	113	70	1.06024096385542	-1.61428571428571	88.5	0.316959165488881	7.81472460726689e-19
chr19	4810634	4812634	Rbm14	85	69	97	103	-1.23188405797101	1.06185567010309	88.5	-0.0641199141977358	0.266715009492749
chr4	40702194	40704194	Aptx	91	78	94	91	-1.16666666666667	-1.03296703296703	88.5	-0.0341562916057646	0.627745845758079
chr8	47674556	47676556	Ing2	82	66	110	96	-1.24242424242424	-1.14583333333333	88.5	-0.452838970003363	2.13026025838465e-05
chr17	35916889	35918889	Mir1894	106	68	85	94	-1.55882352941176	1.10588235294118	88.25	NA	NA
chr19	16131831	16133831	Gnaq	116	52	94	91	-2.23076923076923	-1.03296703296703	88.25	-0.458311958807239	3.86351354058556e-48
chr6	125348451	125350451	Tnfrsf1a	116	73	87	77	-1.58904109589041	-1.12987012987013	88.25	0.0462363873357495	0.225318333678023
chr2	14072934	14074934	Stamos	109	75	82	87	-1.45333333333333	1.0609756097561	88.25	-0.877176449238492	0.091262036925429
chr6	72898979	72900979	Kcmf1	104	61	109	79	-1.70491803278689	-1.37974683544304	88.25	0.216283324615736	1.64230862849623e-06
chr10	108161193	108163193	Ppp1r12a	115	70	82	85	-1.64285714285714	1.03658536585366	88	-0.114733190949009	0.00836899210529182
chr10	115383959	115385959	Zfc3h1	91	71	92	98	-1.28169014084507	1.06521739130435	88	0.0837268907603193	0.427403043889886
chr2	4880564	4882564	Sephs1	106	45	110	90	-2.35555555555556	-1.22222222222222	87.75	-0.508681195180701	9.95490097163268e-45
chr2	14073098	14075098	Stam	109	75	83	84	-1.45333333333333	1.01204819277108	87.75	0.0550976237806619	0.426774626889792
chr11	69394631	69396631	Cyb5d1	82	94	88	87	1.14634146341463	-1.01149425287356	87.75	0.108581757460827	0.146674546468524
chr10	115383435	115385435	Thap2	96	74	82	99	-1.2972972972973	1.20731707317073	87.75	0.644909220174632	2.13660017488561e-44
chr11	69069806	69071806	Tmem107	87	81	92	90	-1.07407407407407	-1.02222222222222	87.5	0.460361754965136	1.18299968446043e-09
chr17	65612555	65614555	Vapa	113	65	89	83	-1.73846153846154	-1.07228915662651	87.5	0.135579283659439	0.00902505969547238
chr1	178318130	178320130	Cox20	114	90	64	81	-1.26666666666667	1.265625	87.25	-0.213168412061739	0.0269413991393107
chr19	36925079	36927079	Btaf1	89	73	100	86	-1.21917808219178	-1.16279069767442	87	0.0292140878233308	0.612622910432748
chr2	131261495	131263495	Pank2	86	78	97	87	-1.1025641025641	-1.11494252873563	87	-0.486685492588441	1.37448709994994e-18
chr10	7680136	7682136	Pcmt1	104	78	76	90	-1.33333333333333	1.18421052631579	87	-0.106947119622517	0.00599081201698402
chr11	5097926	5099926	Rhbdd3	116	62	110	59	-1.87096774193548	-1.86440677966102	86.75	0.0136452559814542	0.930284262168459
chr19	44292674	44294674	Scd2	103	88	73	82	-1.17045454545455	1.12328767123288	86.5	0.419142853431053	6.7765901229475e-46
chr19	29521282	29523282	Ric1	103	67	100	76	-1.53731343283582	-1.31578947368421	86.5	0.0557448964886426	0.207709265436804
chr6	146887487	146889487	Ppfibp1	106	74	93	73	-1.43243243243243	-1.27397260273973	86.5	-0.205850912350979	7.82558074471543e-10
chr10	34206715	34208715	Dse	105	63	89	89	-1.66666666666667	0	86.5	-0.197234307073014	1.24241446038938e-06
chr10	59950834	59952834	Ddit4	113	72	82	79	-1.56944444444444	-1.0379746835443	86.5	-0.286592534240748	2.60842858589321e-05
chr11	62550171	62552171	Ubb	110	79	84	72	-1.39240506329114	-1.16666666666667	86.25	0.137210974518226	0.000144954753417615
chr4	40721917	40723917	Mir207	124	54	75	92	-2.2962962962963	1.22666666666667	86.25	NA	NA
chr6	134897578	134899578	Gpr19	115	85	70	75	-1.35294117647059	1.07142857142857	86.25	-0.133450696637787	0.247360240184931
chr5	140418328	140420328	Eif3b	116	76	82	70	-1.52631578947368	-1.17142857142857	86	-0.0974706340928024	0.000446583055834688
chr17	35915389	35917389	Mrps18b	116	52	82	94	-2.23076923076923	1.14634146341463	86	-0.100770915868068	0.054253041448863
chr19	6973968	6975968	Ppp1r14b	95	61	105	82	-1.55737704918033	-1.28048780487805	85.75	0.0406532438240512	0.61354868984618
chr10	37137920	37139920	Marcks	108	74	69	92	-1.45945945945946	1.33333333333333	85.75	-0.997450790472295	9.06634912678416e-128
chr4	41274144	41276144	Ubap2	87	72	100	84	-1.20833333333333	-1.19047619047619	85.75	-0.61775925436926	3.77848248778399e-42
chr10	7680214	7682214	Lats1	103	75	75	89	-1.37333333333333	1.18666666666667	85.5	0.0149497540894065	0.722400102505837
chr19	21271278	21273278	Zfand5	101	89	78	74	-1.13483146067416	-1.05405405405405	85.5	0.80697459277616	3.74058402748343e-154
chr4	63557781	63559781	Tmem268	130	70	86	56	-1.85714285714286	-1.53571428571429	85.5	0.181011201836763	0.151010680564085
chr17	35915566	35917566	Ppp1r10	118	52	88	84	-2.26923076923077	-1.04761904761905	85.5	0.177801441836435	0.00173878374547897
chr1	162216814	162218814	Mir199a-2	101	92	61	88	-1.09782608695652	1.44262295081967	85.5	NA	NA
chr10	122984831	122986831	Mirlet7i	108	81	91	62	-1.33333333333333	-1.46774193548387	85.5	NA	NA
chr1	176813067	176815067	Cep170	102	57	98	85	-1.78947368421053	-1.15294117647059	85.5	-0.142270275321411	0.00922346785938789
chr19	6045576	6047576	Syvn1	86	67	78	110	-1.28358208955224	1.41025641025641	85.25	0.415494978419045	4.9774020363838e-19
chr10	80260012	80262012	Gamt	118	82	74	67	-1.4390243902439	-1.1044776119403	85.25	-0.314794290239157	3.30584837370456e-06
chr17	32320238	32322238	Akap8	76	51	103	111	-1.49019607843137	1.07766990291262	85.25	-0.400822894179397	2.64700019614029e-25
chr6	55037007	55039007	Gars	75	60	99	106	-1.25	1.07070707070707	85	0.475733281522537	5.37423073280775e-17
chr19	6979501	6981501	Fkbp2	99	67	89	85	-1.47761194029851	-1.04705882352941	85	-0.109683021629049	0.120817406843613
chr10	128493145	128495145	Myl6	96	69	92	83	-1.39130434782609	-1.10843373493976	85	0.134157998821435	2.13411004667625e-05
chr17	36271247	36273247	Trim39	81	61	99	99	-1.32786885245902	0	85	0.498087850346048	4.34567799429908e-19
chr19	37375403	37377403	Kif11	69	54	112	104	-1.27777777777778	-1.07692307692308	84.75	-1.42139219864555	3.01588456711621e-114
chr6	83033173	83035173	Loxl3	93	65	107	74	-1.43076923076923	-1.44594594594595	84.75	0.188454814188466	0.000187253070731048
chr10	127641986	127643986	Stat6	93	86	79	81	-1.08139534883721	1.0253164556962	84.75	0.301391750072234	1.62914826684878e-10
chr6	39591574	39593574	Ndufb2	72	68	100	99	-1.05882352941176	-1.01010101010101	84.75	0.173163777851106	0.00659497983895443
chr5	30154162	30156162	Hadha	95	67	88	89	-1.41791044776119	1.01136363636364	84.75	-0.0932011464802239	0.020813392881482
chr19	8722475	8724475	Snhg1	106	54	84	94	-1.96296296296296	1.11904761904762	84.5	0.00716330473298883	0.930778541252752
chr17	44813797	44815797	Runx2	101	87	70	80	-1.16091954022989	1.14285714285714	84.5	1.34069965921219	6.78703677303038e-266
chr6	134565965	134567965	Lrp6	114	65	84	75	-1.75384615384615	-1.12	84.5	-0.55574314483165	1.04588565191488e-33
chr2	72978424	72980424	Sp3os	112	64	103	58	-1.75	-1.77586206896552	84.25	-0.626090320407586	1.30478421487497e-06
chr4	34613957	34615957	Rars2	81	54	98	104	-1.5	1.06122448979592	84.25	-0.190793379924773	0.00224230971550023
chr2	181519485	181521485	Dnajc5	86	59	91	101	-1.45762711864407	1.10989010989011	84.25	-0.146960028416684	9.04911370796465e-05
chr6	42348630	42350630	Zyx	98	80	88	71	-1.225	-1.23943661971831	84.25	-0.956874737765712	5.37065419732703e-78
chr4	34613944	34615944	Orc3	80	55	99	103	-1.45454545454545	1.04040404040404	84.25	-0.024961609057261	0.602256447320399
chr17	3113972	3115972	Scaf8	120	48	91	77	-2.5	-1.18181818181818	84	-0.219756491102086	1.62920755215993e-05
chr6	83164920	83166920	Dctn1	94	78	92	72	-1.20512820512821	-1.27777777777778	84	0.0529236905586786	0.241343795200449
chr5	30154248	30156248	Hadhb	92	66	88	90	-1.39393939393939	1.02272727272727	84	0.155115275051712	2.35204767402856e-06
chr6	38532502	38534502	Fmc1	98	74	67	97	-1.32432432432432	1.44776119402985	84	-0.118189313335169	0.38144705911791
chr19	8722369	8724369	Slc3a2	106	55	83	92	-1.92727272727273	1.10843373493976	84	0.0252283881890377	0.806336531237171
chr11	70653644	70655644	Pfn1	103	67	83	83	-1.53731343283582	0	84	-0.182088750356246	3.68228305326594e-09
chr2	180708999	180710999	Dido1	85	54	112	85	-1.57407407407407	-1.31764705882353	84	-0.346545498455731	9.31385017070129e-18
chr17	45432737	45434737	Cdc5l	72	63	102	99	-1.14285714285714	-1.03030303030303	84	0.00766689920671547	0.867930288997015
chr10	119239055	119241055	Cand1	103	69	91	73	-1.49275362318841	-1.24657534246575	84	-0.388265107567706	4.8764873915712e-15
chr10	84439597	84441597	Nuak1	110	65	82	79	-1.69230769230769	-1.0379746835443	84	1.91621464367361	0
chr19	45074241	45076241	Kazald1	98	86	81	70	-1.13953488372093	-1.15714285714286	83.75	1.10606210341795	6.99729704082181e-68
chr2	126033658	126035658	Fgf7	100	71	82	82	-1.40845070422535	0	83.75	-1.96630290182031	0
chr11	48799332	48801332	Rack1	93	78	93	71	-1.19230769230769	-1.30985915492958	83.75	0.247385792874475	2.39042375989031e-08
chr8	128684654	128686654	Itgb1	99	71	93	72	-1.3943661971831	-1.29166666666667	83.75	0.136735501724337	4.83727767043452e-09
chr1	162216623	162218623	Dnm3os	102	89	66	78	-1.14606741573034	1.18181818181818	83.75	0.228835652624614	0.0310531398641069
chr6	115675635	115677635	Raf1	130	43	90	72	-3.02325581395349	-1.25	83.75	0.27980375078129	8.50478131666513e-18
chr6	120037672	120039672	Wnk1	88	73	72	102	-1.20547945205479	1.41666666666667	83.75	-0.132130609998986	0.00121866816005971
chr6	29734694	29736694	Smo	118	56	97	63	-2.10714285714286	-1.53968253968254	83.5	-0.323478693995651	9.80015755443528e-38
chr6	122818914	122820914	Foxj2	82	59	90	103	-1.38983050847458	1.14444444444444	83.5	-0.14674649312905	0.000371126418712052
chr19	5844478	5846478	Neat1	111	83	75	65	-1.33734939759036	-1.15384615384615	83.5	0.176759685100164	0.269749711472299
chr2	117120374	117122374	Spred1	98	66	71	98	-1.48484848484848	1.38028169014085	83.25	-0.127365996880031	1.99140411801249e-05
chr17	34980862	34982862	Lsm2	80	60	108	85	-1.33333333333333	-1.27058823529412	83.25	-0.676990886226686	1.23364869001703e-22
chr19	8818333	8820333	Ttc9c	99	74	86	74	-1.33783783783784	-1.16216216216216	83.25	0.0746257071315994	0.0864170477070128
chr1	180941344	180943344	Tmem63a	84	73	100	75	-1.15068493150685	-1.33333333333333	83	0.0308990300048101	0.723593484424701
chr19	8756073	8758073	Nxf1	81	52	101	98	-1.55769230769231	-1.03061224489796	83	0.153248989257132	0.00150159533089973
chr6	71542797	71544797	Chmp3	104	54	78	96	-1.92592592592593	1.23076923076923	83	0.253917380392728	3.52308388232962e-15
chr19	5725317	5727317	Ehbp1l1	84	78	101	69	-1.07692307692308	-1.46376811594203	83	-0.0870744563678398	0.0136582545863049
chr4	57955411	57957411	Txn1	97	67	86	82	-1.44776119402985	-1.04878048780488	83	-0.63526452681891	3.60238790926393e-55
chr4	40142081	40144081	Aco1	88	59	95	89	-1.49152542372881	-1.06741573033708	82.75	-0.28965849541812	6.11310562297126e-17
chr6	83793982	83795982	Nagk	75	76	105	75	1.01333333333333	-1.4	82.75	0.523688538498777	3.87930166110114e-18
chr4	47473658	47475658	Sec61b	96	59	105	71	-1.6271186440678	-1.47887323943662	82.75	0.967701974406763	4.25289917511173e-134
chr2	180709117	180711117	Gid8	87	53	110	81	-1.64150943396226	-1.35802469135802	82.75	-0.0968194955259331	0.0615830792660153
chr19	47918287	47920287	Cfap43	82	54	98	97	-1.51851851851852	-1.01030927835052	82.75	-0.292768560589532	3.84410798428331e-08
chr6	83032471	83034471	Dok1	89	68	96	78	-1.30882352941176	-1.23076923076923	82.75	-0.179976164456548	0.0414920438945886
chr6	118478320	118480320	Zfp9	68	64	92	107	-1.0625	1.16304347826087	82.75	1.24599059525626	0
chr10	17722218	17724218	Cited2	90	68	92	80	-1.32352941176471	-1.15	82.5	-0.915135084496605	2.70272630114653e-42
chr19	46500702	46502702	Trim8	116	70	69	75	-1.65714285714286	1.08695652173913	82.5	0.973415074182049	6.62820680122315e-118
chr6	124414067	124416067	Pex5	76	62	100	92	-1.2258064516129	-1.08695652173913	82.5	-0.0751625579702852	0.0968377231335673
chr19	46337702	46339702	Cuedc2	99	81	70	80	-1.22222222222222	1.14285714285714	82.5	-0.0810880232122884	0.1122149918868
chr17	35979236	35981236	Prr3	91	29	122	88	-3.13793103448276	-1.38636363636364	82.5	-0.448986133639272	8.88488299526488e-15
chr4	40268579	40270579	Smim27	105	56	80	88	-1.875	1.1	82.25	0.180055932223875	0.197502287313998
chr4	43577715	43579715	Rgp1	77	51	93	108	-1.50980392156863	1.16129032258065	82.25	0.240911849288889	0.000900733818555005
chr2	156179238	156181238	Rbm39	83	71	86	89	-1.16901408450704	1.03488372093023	82.25	0.373451288067674	4.74270531127112e-17
chr10	23786275	23788275	Rps12	86	73	90	80	-1.17808219178082	-1.125	82.25	0.181135656361262	0.0124946089401996
