label	Ets1	p300	Ets1_Z	p300_Z	DIFF	DIFF_Z	DIFF_Q	Ets1_Q	p300_Q
chr19 50100000 50200000	339	162	2.22798796176388	1.54124207727589	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 50200000 50300000	313	182	1.85275090692671	2.05839934915475	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 50300000 50400000	366	197	2.61765721101787	2.4462673030639	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 50600000 50700000	295	177	1.59297140742406	1.92911003118504	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 50700000 50800000	324	180	2.01150504551167	2.00668362196687	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 50900000 51000000	315	188	1.88161529576034	2.21354653071841	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 51000000 51100000	286	164	1.46308165767273	1.59295780446378	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 51200000 51300000	287	166	1.47751385208954	1.64467353165166	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 51300000 51400000	302	159	1.69399676834176	1.46366848649406	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 51800000 51900000	283	154	1.41978507442228	1.33437916852434	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 52400000 52500000	314	181	1.86718310134353	2.03254148556081	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 52500000 52600000	334	159	2.15582698967981	1.46366848649406	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 14300000 14400000	311	169	1.82388651809308	1.72224712243349	0.03647119772	1.32916496403037	Q10	Q10	Q10
chr19 22400000 22500000	315	175	1.88161529576034	1.87739430399715	0.03662731381	1.33411218171627	Q10	Q10	Q10
chr19 22500000 22600000	332	159	2.12696260084618	1.46366848649406	0.03662731381	1.33411218171627	Q10	Q10	Q10
chr19 22600000 22700000	293	155	1.56410701859043	1.36023703211829	0.03662731381	1.33411218171627	Q10	Q10	Q10
chr19 11300000 11400000	299	158	1.65070018509131	1.43781062290012	0.03675769418	1.3382438511192	Q10	Q10	Q10
chr19 18900000 19000000	344	182	2.30014893384795	2.05839934915475	0.03842257887	1.39100296764173	Q10	Q10	Q10
chr19 19000000 19100000	384	202	2.87743671052052	2.57555662103361	0.03842257887	1.39100296764173	Q10	Q10	Q10
chr19 20100000 20200000	281	178	1.39092068558866	1.95496789477898	0.03842257887	1.39100296764173	Q10	Q10	Q10
chr17 89300000 89400000	319	158	1.9393440734276	1.43781062290012	0.043171004992	1.5414775131607	Q10	Q10	Q10
chr19 30800000 30900000	333	181	2.141394795263	2.03254148556081	0.04381693765	1.56194670035055	Q10	Q10	Q10
chr19 17500000 17600000	341	194	2.25685235059751	2.36869371228207	0.04543319711	1.61316491485692	Q10	Q10	Q10
chr19 17600000 17700000	330	185	2.09809821201255	2.13597293993658	0.04543319711	1.61316491485692	Q10	Q10	Q10
chr19 17700000 17800000	349	189	2.37230990593202	2.23940439431235	0.04543319711	1.61316491485692	Q10	Q10	Q10
chr19 17800000 17900000	322	167	1.98264065667804	1.67053139524561	0.04543319711	1.61316491485692	Q10	Q10	Q10
chr15 67400000 67500000	277	157	1.3331919079214	1.41195275930617	0.09086846822	3.05297920177032	Q10	Q10	Q10
chr4 19500000 19600000	359	172	2.51663185010017	1.79982071321532	0.02323817922	0.909819186403965	Q9	Q10	Q10
chr4 19900000 20000000	324	152	2.01150504551167	1.28266344133646	0.02323817922	0.909819186403965	Q9	Q10	Q10
chr4 20000000 20100000	335	153	2.17025918409663	1.3085213049304	0.02323817922	0.909819186403965	Q9	Q10	Q10
chr4 13100000 13200000	276	169	1.31875971350458	1.72224712243349	0.01126560089	0.530415940652676	Q8	Q10	Q10
chr4 13200000 13300000	314	171	1.86718310134353	1.77396284962138	0.01126560089	0.530415940652676	Q8	Q10	Q10
chr4 13400000 13500000	324	181	2.01150504551167	2.03254148556081	0.01126560089	0.530415940652676	Q8	Q10	Q10
chr4 13500000 13600000	304	164	1.72286115717538	1.59295780446378	0.01126560089	0.530415940652676	Q8	Q10	Q10
chr4 13700000 13800000	369	187	2.66095379426831	2.18768866712447	0.01126560089	0.530415940652676	Q8	Q10	Q10
chr4 14000000 14100000	296	175	1.60740360184087	1.87739430399715	0.01126560089	0.530415940652676	Q8	Q10	Q10
chr4 14500000 14600000	331	160	2.11253040642937	1.489526350088	0.01126560089	0.530415940652676	Q8	Q10	Q10
chr4 5600000 5700000	298	181	1.6362679906745	2.03254148556081	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 6700000 6800000	336	188	2.18469137851344	2.21354653071841	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 6800000 6900000	313	167	1.85275090692671	1.67053139524561	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 6900000 7000000	390	160	2.96402987702141	1.489526350088	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 8700000 8800000	314	155	1.86718310134353	1.36023703211829	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 8800000 8900000	277	178	1.3331919079214	1.95496789477898	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 8900000 9000000	301	163	1.67956457392494	1.56709994086983	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 9000000 9100000	281	198	1.39092068558866	2.47212516665784	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 9200000 9300000	300	166	1.66513237950813	1.64467353165166	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 9300000 9400000	280	169	1.37648849117184	1.72224712243349	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 9600000 9700000	300	154	1.66513237950813	1.33437916852434	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 10200000 10300000	321	177	1.96820846226123	1.92911003118504	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 11800000 11900000	298	169	1.6362679906745	1.72224712243349	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 11900000 12000000	295	183	1.59297140742406	2.0842572127487	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 12000000 12100000	275	160	1.30432751908777	1.489526350088	0.01138628029	0.534240192605206	Q8	Q10	Q10
chr4 25600000 25700000	325	175	2.02593723992848	1.87739430399715	0.011390520597	0.534374565185149	Q8	Q10	Q10
chr4 25700000 25800000	299	161	1.65070018509131	1.51538421368195	0.011390520597	0.534374565185149	Q8	Q10	Q10
chr4 22900000 23000000	332	153	2.12696260084618	1.3085213049304	0.011950407523	0.552117018909243	Q8	Q10	Q10
chr4 23600000 23700000	287	168	1.47751385208954	1.69638925883955	0.011992274187	0.55344374635028	Q8	Q10	Q10
chr4 23700000 23800000	281	161	1.39092068558866	1.51538421368195	0.011992274187	0.55344374635028	Q8	Q10	Q10
chr4 23800000 23900000	305	157	1.7372933515922	1.41195275930617	0.011992274187	0.55344374635028	Q8	Q10	Q10
chr4 23900000 24000000	290	154	1.52081043533998	1.33437916852434	0.011992274187	0.55344374635028	Q8	Q10	Q10
chr4 26800000 26900000	305	163	1.7372933515922	1.56709994086983	0.012034766746	0.554790307998115	Q8	Q10	Q10
chr4 28100000 28200000	327	172	2.05480162876211	1.79982071321532	0.012248193659	0.561553668511696	Q8	Q10	Q10
chr4 28200000 28300000	309	164	1.79502212925945	1.59295780446378	0.012248193659	0.561553668511696	Q8	Q10	Q10
chr19 54400000 54500000	333	157	2.141394795263	1.41195275930617	0.012561350223	0.571477397013201	Q8	Q10	Q10
chr19 54600000 54700000	292	154	1.54967482417361	1.33437916852434	0.012561350223	0.571477397013201	Q8	Q10	Q10
chr19 54700000 54800000	330	161	2.09809821201255	1.51538421368195	0.012561350223	0.571477397013201	Q8	Q10	Q10
chr4 18000000 18100000	320	173	1.95377626784441	1.82567857680926	0.012863669651	0.581057703700314	Q8	Q10	Q10
chr4 18100000 18200000	302	183	1.69399676834176	2.0842572127487	0.012863669651	0.581057703700314	Q8	Q10	Q10
chr4 18800000 18900000	281	157	1.39092068558866	1.41195275930617	0.012863669651	0.581057703700314	Q8	Q10	Q10
chr4 31100000 31200000	300	159	1.66513237950813	1.46366848649406	0.012948986242	0.583761331160468	Q8	Q10	Q10
chr4 31200000 31300000	343	167	2.28571673943114	1.67053139524561	0.012948986242	0.583761331160468	Q8	Q10	Q10
chr4 31300000 31400000	344	157	2.30014893384795	1.41195275930617	0.012948986242	0.583761331160468	Q8	Q10	Q10
chr4 31400000 31500000	288	157	1.49194604650636	1.41195275930617	0.012948986242	0.583761331160468	Q8	Q10	Q10
chr4 31600000 31700000	322	156	1.98264065667804	1.38609489571223	0.012948986242	0.583761331160468	Q8	Q10	Q10
chr4 28400000 28500000	274	153	1.28989532467096	1.3085213049304	0.013135056093	0.589657764114175	Q8	Q10	Q10
chr4 20100000 20200000	303	155	1.70842896275857	1.36023703211829	0.014265883314	0.625492945660347	Q8	Q10	Q10
chr4 20500000 20600000	337	177	2.19912357293025	1.92911003118504	0.014265883314	0.625492945660347	Q8	Q10	Q10
chr4 20600000 20700000	326	193	2.0403694343453	2.34283584868813	0.014265883314	0.625492945660347	Q8	Q10	Q10
chr4 20700000 20800000	358	205	2.50219965568335	2.65313021181544	0.014265883314	0.625492945660347	Q8	Q10	Q10
chr19 22300000 22400000	330	170	2.09809821201255	1.74810498602743	0.015408040665	0.661687171681175	Q8	Q10	Q10
chr4 12500000 12600000	313	175	1.85275090692671	1.87739430399715	0.015717790651	0.671502947934261	Q8	Q10	Q10
chr4 12600000 12700000	324	166	2.01150504551167	1.64467353165166	0.015717790651	0.671502947934261	Q8	Q10	Q10
chr4 24500000 24600000	358	170	2.50219965568335	1.74810498602743	0.016716261876	0.703143853770311	Q8	Q10	Q10
chr4 24600000 24700000	325	168	2.02593723992848	1.69638925883955	0.016716261876	0.703143853770311	Q8	Q10	Q10
chr4 24800000 24900000	304	166	1.72286115717538	1.64467353165166	0.016716261876	0.703143853770311	Q8	Q10	Q10
chr4 24900000 25000000	321	164	1.96820846226123	1.59295780446378	0.016716261876	0.703143853770311	Q8	Q10	Q10
chr19 20900000 21000000	284	155	1.4342172688391	1.36023703211829	0.016778087132	0.705103056053167	Q8	Q10	Q10
chr4 15600000 15700000	298	159	1.6362679906745	1.46366848649406	0.016910366976	0.709294918555775	Q8	Q10	Q10
chr4 21800000 21900000	346	170	2.32901332268158	1.74810498602743	0.01718327557	0.717943214979744	Q8	Q10	Q10
chr4 21900000 22000000	290	173	1.52081043533998	1.82567857680926	0.01718327557	0.717943214979744	Q8	Q10	Q10
chr4 22000000 22100000	333	159	2.141394795263	1.46366848649406	0.01718327557	0.717943214979744	Q8	Q10	Q10
chr4 22100000 22200000	312	165	1.8383187125099	1.61881566805772	0.01718327557	0.717943214979744	Q8	Q10	Q10
chr4 22200000 22300000	300	175	1.66513237950813	1.87739430399715	0.01718327557	0.717943214979744	Q8	Q10	Q10
chr19 22800000 22900000	291	152	1.5352426297568	1.28266344133646	0.017281164236	0.721045243346483	Q8	Q10	Q10
chr17 10700000 10800000	342	162	2.27128454501432	1.54124207727589	0.018260042751	0.752065268904102	Q8	Q10	Q10
chr17 59300000 59400000	290	156	1.52081043533998	1.38609489571223	0.019082507155	0.778128632683531	Q8	Q10	Q10
chr4 15900000 16000000	302	175	1.69399676834176	1.87739430399715	0.01930239944	0.785096876644451	Q8	Q10	Q10
chr19 42900000 43000000	299	152	1.65070018509131	1.28266344133646	0.01952947076	0.792292619570531	Q8	Q10	Q10
chr11 93300000 93400000	282	184	1.40535288000547	2.11011507634264	0.00260476142	0.255959552456394	Q7	Q10	Q10
chr11 112100000 112200000	297	153	1.62183579625768	1.3085213049304	0.00260476142	0.255959552456394	Q7	Q10	Q10
chr6 47200000 47300000	352	173	2.41560648918247	1.82567857680926	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 47300000 47400000	322	170	1.98264065667804	1.74810498602743	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 47500000 47600000	307	157	1.76615774042583	1.41195275930617	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 47700000 47800000	412	559	3.28153815419132	11.8068139240713	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 47800000 47900000	279	163	1.36205629675503	1.56709994086983	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 48000000 48100000	292	175	1.54967482417361	1.87739430399715	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 48600000 48700000	291	154	1.5352426297568	1.33437916852434	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 49000000 49100000	283	171	1.41978507442228	1.77396284962138	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 49600000 49700000	293	170	1.56410701859043	1.74810498602743	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 49700000 49800000	313	154	1.85275090692671	1.33437916852434	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 49900000 50000000	309	172	1.79502212925945	1.79982071321532	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 50100000 50200000	304	167	1.72286115717538	1.67053139524561	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 50300000 50400000	328	180	2.06923382317893	2.00668362196687	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 50400000 50500000	280	177	1.37648849117184	1.92911003118504	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 50700000 50800000	301	194	1.67956457392494	2.36869371228207	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 50800000 50900000	303	172	1.70842896275857	1.79982071321532	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 51000000 51100000	343	195	2.28571673943114	2.39455157587601	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 51700000 51800000	281	165	1.39092068558866	1.61881566805772	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 51800000 51900000	315	178	1.88161529576034	1.95496789477898	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 51900000 52000000	288	153	1.49194604650636	1.3085213049304	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 52000000 52100000	322	165	1.98264065667804	1.61881566805772	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 52200000 52300000	308	156	1.78058993484264	1.38609489571223	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 52500000 52600000	296	153	1.60740360184087	1.3085213049304	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 52600000 52700000	311	159	1.82388651809308	1.46366848649406	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 52700000 52800000	287	184	1.47751385208954	2.11011507634264	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 53000000 53100000	310	166	1.80945432367627	1.64467353165166	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 53200000 53300000	311	182	1.82388651809308	2.05839934915475	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 53300000 53400000	305	191	1.7372933515922	2.29112012150024	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 53500000 53600000	291	178	1.5352426297568	1.95496789477898	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 53600000 53700000	308	175	1.78058993484264	1.87739430399715	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 53900000 54000000	284	171	1.4342172688391	1.77396284962138	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 54000000 54100000	303	168	1.70842896275857	1.69638925883955	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 54100000 54200000	287	153	1.47751385208954	1.3085213049304	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 54500000 54600000	309	187	1.79502212925945	2.18768866712447	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 54700000 54800000	274	173	1.28989532467096	1.82567857680926	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 54800000 54900000	283	156	1.41978507442228	1.38609489571223	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 55100000 55200000	289	168	1.50637824092317	1.69638925883955	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 55300000 55400000	332	176	2.12696260084618	1.90325216759109	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 55400000 55500000	312	180	1.8383187125099	2.00668362196687	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 55500000 55600000	303	152	1.70842896275857	1.28266344133646	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr6 55600000 55700000	290	182	1.52081043533998	2.05839934915475	0.00266713719	0.257936200171025	Q7	Q10	Q10
chr4 39500000 39600000	338	159	2.21355576734707	1.46366848649406	0.002709260364	0.259271056247673	Q7	Q10	Q10
chr6 5100000 5200000	329	175	2.08366601759574	1.87739430399715	0.002718035493	0.259549134396984	Q7	Q10	Q10
chr6 5200000 5300000	288	170	1.49194604650636	1.74810498602743	0.002718035493	0.259549134396984	Q7	Q10	Q10
chr6 5400000 5500000	308	166	1.78058993484264	1.64467353165166	0.002718035493	0.259549134396984	Q7	Q10	Q10
chr2 61100000 61200000	276	154	1.31875971350458	1.33437916852434	0.00280208838	0.262212715896606	Q7	Q10	Q10
chr6 4000000 4100000	303	172	1.70842896275857	1.79982071321532	0.002895655665	0.2651778025009	Q7	Q10	Q10
chr6 4100000 4200000	280	157	1.37648849117184	1.41195275930617	0.002895655665	0.2651778025009	Q7	Q10	Q10
chr6 4400000 4500000	316	168	1.89604749017715	1.69638925883955	0.002895655665	0.2651778025009	Q7	Q10	Q10
chr6 4500000 4600000	319	172	1.9393440734276	1.79982071321532	0.002895655665	0.2651778025009	Q7	Q10	Q10
chr6 4600000 4700000	285	185	1.44864946325591	2.13597293993658	0.002895655665	0.2651778025009	Q7	Q10	Q10
chr2 115100000 115200000	274	153	1.28989532467096	1.3085213049304	0.00289667911	0.265210234809476	Q7	Q10	Q10
chr2 116000000 116100000	279	170	1.36205629675503	1.74810498602743	0.00289667911	0.265210234809476	Q7	Q10	Q10
chr2 117500000 117600000	296	158	1.60740360184087	1.43781062290012	0.00289667911	0.265210234809476	Q7	Q10	Q10
chr16 87300000 87400000	367	280	2.63208940543468	4.59246998136118	0.00291494378	0.265789030361242	Q7	Q10	Q10
chr17 93500000 93600000	276	165	1.31875971350458	1.61881566805772	0.002947388585	0.266817185198527	Q7	Q10	Q10
chr5 14000000 14100000	288	155	1.49194604650636	1.36023703211829	0.00298361653	0.267965225289896	Q7	Q10	Q10
chr5 16300000 16400000	317	162	1.91047968459397	1.54124207727589	0.00298361653	0.267965225289896	Q7	Q10	Q10
chr5 19200000 19300000	297	182	1.62183579625768	2.05839934915475	0.00298361653	0.267965225289896	Q7	Q10	Q10
chr5 19800000 19900000	281	167	1.39092068558866	1.67053139524561	0.00298361653	0.267965225289896	Q7	Q10	Q10
chr5 20000000 20100000	297	152	1.62183579625768	1.28266344133646	0.00298361653	0.267965225289896	Q7	Q10	Q10
chr17 9400000 9500000	286	172	1.46308165767273	1.79982071321532	0.00299500871	0.268326236088828	Q7	Q10	Q10
chr4 49100000 49200000	327	157	2.05480162876211	1.41195275930617	0.003015693374	0.268981719681632	Q7	Q10	Q10
chr11 11500000 11600000	291	165	1.5352426297568	1.61881566805772	0.00313135087	0.272646830751978	Q7	Q10	Q10
chr11 11700000 11800000	299	170	1.65070018509131	1.74810498602743	0.00313135087	0.272646830751978	Q7	Q10	Q10
chr6 7800000 7900000	313	165	1.85275090692671	1.61881566805772	0.003194717461	0.274654876941774	Q7	Q10	Q10
chr6 8200000 8300000	299	157	1.65070018509131	1.41195275930617	0.003194717461	0.274654876941774	Q7	Q10	Q10
chr6 8400000 8500000	355	193	2.45890307243291	2.34283584868813	0.003194717461	0.274654876941774	Q7	Q10	Q10
chr17 52100000 52200000	303	164	1.70842896275857	1.59295780446378	0.003296612674	0.277883870185598	Q7	Q10	Q10
chr11 3100000 3200000	1176	543	14.3077346886374	11.3930881065682	0.00343176325	0.282166704324262	Q7	Q10	Q10
chr5 12300000 12400000	302	166	1.69399676834176	1.64467353165166	0.00350560958	0.284506846649213	Q7	Q10	Q10
chr5 12400000 12500000	293	161	1.56410701859043	1.51538421368195	0.00350560958	0.284506846649213	Q7	Q10	Q10
chr6 5800000 5900000	310	172	1.80945432367627	1.79982071321532	0.003508093967	0.284585575262676	Q7	Q10	Q10
chr5 44600000 44700000	276	172	1.31875971350458	1.79982071321532	0.00366067429	0.289420746784496	Q7	Q10	Q10
chr5 44700000 44800000	302	153	1.69399676834176	1.3085213049304	0.00366067429	0.289420746784496	Q7	Q10	Q10
chr5 45700000 45800000	279	154	1.36205629675503	1.33437916852434	0.00366067429	0.289420746784496	Q7	Q10	Q10
chr17 11500000 11600000	319	157	1.9393440734276	1.41195275930617	0.003728228889	0.291561508232831	Q7	Q10	Q10
chr17 11600000 11700000	308	156	1.78058993484264	1.38609489571223	0.003728228889	0.291561508232831	Q7	Q10	Q10
chr17 11800000 11900000	300	170	1.66513237950813	1.74810498602743	0.003728228889	0.291561508232831	Q7	Q10	Q10
chr6 36700000 36800000	316	160	1.89604749017715	1.489526350088	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 36800000 36900000	362	182	2.55992843335061	2.05839934915475	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 36900000 37000000	348	181	2.35787771151521	2.03254148556081	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 37000000 37100000	322	201	1.98264065667804	2.54969875743967	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 37200000 37300000	293	169	1.56410701859043	1.72224712243349	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 37300000 37400000	281	168	1.39092068558866	1.69638925883955	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 38000000 38100000	293	185	1.56410701859043	2.13597293993658	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 38100000 38200000	284	162	1.4342172688391	1.54124207727589	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 38400000 38500000	283	162	1.41978507442228	1.54124207727589	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 38500000 38600000	303	154	1.70842896275857	1.33437916852434	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 38700000 38800000	290	159	1.52081043533998	1.46366848649406	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 38800000 38900000	320	195	1.95377626784441	2.39455157587601	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 38900000 39000000	301	171	1.67956457392494	1.77396284962138	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 39500000 39600000	290	163	1.52081043533998	1.56709994086983	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 39600000 39700000	346	178	2.32901332268158	1.95496789477898	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 39800000 39900000	321	171	1.96820846226123	1.77396284962138	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 39900000 40000000	305	158	1.7372933515922	1.43781062290012	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 40000000 40100000	362	201	2.55992843335061	2.54969875743967	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 40100000 40200000	332	167	2.12696260084618	1.67053139524561	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 40200000 40300000	311	161	1.82388651809308	1.51538421368195	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 40300000 40400000	329	169	2.08366601759574	1.72224712243349	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr6 40400000 40500000	344	193	2.30014893384795	2.34283584868813	0.00376198964	0.292631364545761	Q7	Q10	Q10
chr2 125300000 125400000	277	152	1.3331919079214	1.28266344133646	0.00376242305	0.292645099027692	Q7	Q10	Q10
chr11 24100000 24200000	276	162	1.31875971350458	1.54124207727589	0.00385584375	0.295605540448363	Q7	Q10	Q10
chr10 44600000 44700000	287	162	1.47751385208954	1.54124207727589	0.003900852749	0.297031846448452	Q7	Q10	Q10
chr17 68400000 68500000	299	162	1.65070018509131	1.54124207727589	0.003916550735	0.297529305448176	Q7	Q10	Q10
chr17 68600000 68700000	359	226	2.51663185010017	3.19614534728825	0.003916550735	0.297529305448176	Q7	Q10	Q10
chr17 51800000 51900000	280	158	1.37648849117184	1.43781062290012	0.004191301017	0.306235963770943	Q7	Q10	Q10
chr17 51900000 52000000	296	160	1.60740360184087	1.489526350088	0.004191301017	0.306235963770943	Q7	Q10	Q10
chr4 3600000 3700000	291	156	1.5352426297568	1.38609489571223	0.004331538652	0.310680003511503	Q7	Q10	Q10
chr4 3900000 4000000	321	164	1.96820846226123	1.59295780446378	0.004331538652	0.310680003511503	Q7	Q10	Q10
chr2 158900000 159000000	275	153	1.30432751908777	1.3085213049304	0.00436717379	0.311809257933345	Q7	Q10	Q10
chr2 159000000 159100000	274	158	1.28989532467096	1.43781062290012	0.00436717379	0.311809257933345	Q7	Q10	Q10
chr2 57800000 57900000	280	153	1.37648849117184	1.3085213049304	0.00448822954	0.315645436173396	Q7	Q10	Q10
