chr.x	starts	end	DAY0	DAY4	DIFF	label	AB_chr	AB_starts	AB_ends	DAY0_AB	DAY4_AB	chr.y	RE_starts	RE_ends	gene	log2FoldChange	padj	DAY0_Ets1	DAY4_Ets1	DAY0_p300	DAY4_p300	DAY0_ATAC	DAY4_ATAC	Ets1_FC	p300_FC	ATAC_FC	st	RE_len	cate	comp
chr10	8900000	9000000	-0.01997530961	0.01762360051	0.03759891012	chr10 8900000 9000000	chr10	8900000	9000000	-0.01997530961	0.01762360051	chr10	8971900	8973900	Sash1	0.105787675039639	0.0681389006328915	4	0	5	3	27	30	-Inf	-1.66666666666667	1.11111111111111	+	2000	ENHANCER	BtoA
chr10	9200000	9300000	-0.01997530961	0.01762360051	0.03759891012	chr10 9200000 9300000	chr10	9200000	9300000	-0.01997530961	0.01762360051	chr10	9252700	9254700	Sash1	0.105787675039639	0.0681389006328915	6	1	5	2	8	12	-6	-2.5	1.5	+	2000	ENHANCER	BtoA
chr10	9300000	9400000	-0.01997530961	0.01762360051	0.03759891012	chr10 9300000 9400000	chr10	9300000	9400000	-0.01997530961	0.01762360051	chr10	9310000	9312000	Samd5	-0.352058092439395	2.51468045713793e-06	6	2	2	2	11	13	-3	0	1.18181818181818	+	2000	ENHANCER	BtoA
chr10	9400000	9500000	-0.01997530961	0.01762360051	0.03759891012	chr10 9400000 9500000	chr10	9400000	9500000	-0.01997530961	0.01762360051	chr10	9498600	9500600	Samd5	-0.352058092439395	2.51468045713793e-06	8	3	6	0	19	16	-2.66666666666667	-Inf	-1.1875	+	2000	ENHANCER	BtoA
chr10	9500000	9600000	-0.01997530961	0.01762360051	0.03759891012	chr10 9500000 9600000	chr10	9500000	9600000	-0.01997530961	0.01762360051	chr10	9528700	9530700	Samd5	-0.352058092439395	2.51468045713793e-06	10	0	4	1	12	21	-Inf	-4	1.75	+	2000	ENHANCER	BtoA
chr10	9500000	9600000	-0.01997530961	0.01762360051	0.03759891012	chr10 9500000 9600000	chr10	9500000	9600000	-0.01997530961	0.01762360051	chr10	9556700	9558700	Samd5	-0.352058092439395	2.51468045713793e-06	6	1	3	3	15	25	-6	0	1.66666666666667	+	2000	ENHANCER	BtoA
chr10	9600000	9700000	-0.01997530961	0.01762360051	0.03759891012	chr10 9600000 9700000	chr10	9600000	9700000	-0.01997530961	0.01762360051	chr10	9674208	9676208	Samd5	-0.352058092439395	2.51468045713793e-06	2	3	4	6	140	121	1.33333333333333	1.4	-1.15573770491803	+	2000	PROMOTER	BtoA
chr10	9900000	10000000	-0.01997530961	0.01762360051	0.03759891012	chr10 9900000 10000000	chr10	9900000	10000000	-0.01997530961	0.01762360051	chr10	9900079	9902079	Stxbp5	0.262711435317268	0.000673104618605214	1	1	4	5	439	381	0	1.2	-1.15183246073298	+	2000	PROMOTER	BtoA
chr10	10400000	10500000	-0.01997530961	0.01762360051	0.03759891012	chr10 10400000 10500000	chr10	10400000	10500000	-0.01997530961	0.01762360051	chr10	10471326	10473326	Adgb	0.660851419170943	0.299698404275005	4	1	1	2	13	22	-2.5	1.5	1.64285714285714	+	2000	PROMOTER	BtoA
chr10	10500000	10600000	-0.01997530961	0.01762360051	0.03759891012	chr10 10500000 10600000	chr10	10500000	10600000	-0.01997530961	0.01762360051	chr10	10557265	10559265	Rab32	-0.617529389321254	2.31598649614615e-30	5	4	3	4	223	221	-1.2	1.25	-1.00900900900901	+	2000	PROMOTER	BtoA
chr10	11000000	11100000	-0.01997530961	0.01762360051	0.03759891012	chr10 11000000 11100000	chr10	11000000	11100000	-0.01997530961	0.01762360051	chr10	11081356	11083356	Grm1	2.05086875202408	0.000190452208190632	3	3	2	1	21	42	0	-1.5	1.95454545454545	+	2000	PROMOTER	BtoA
chr10	11100000	11200000	-0.01997530961	0.01762360051	0.03759891012	chr10 11100000 11200000	chr10	11100000	11200000	-0.01997530961	0.01762360051	chr10	11148427	11150427	Shprh	0.209519831576566	9.39372291836261e-05	3	0	3	6	289	294	-4	1.75	1.01724137931034	+	2000	PROMOTER	BtoA
chr10	11200000	11300000	-0.01997530961	0.01762360051	0.03759891012	chr10 11200000 11300000	chr10	11200000	11300000	-0.01997530961	0.01762360051	chr10	11280330	11282330	Fbxo30	0.0175649919218223	0.819603489991892	3	4	1	4	540	439	1.25	2.5	-1.22954545454545	+	2000	PROMOTER	BtoA
chr10	11300000	11400000	-0.01997530961	0.01762360051	0.03759891012	chr10 11300000 11400000	chr10	11300000	11400000	-0.01997530961	0.01762360051	chr10	11342404	11344404	Epm2a	0.280365466690096	0.0907744364433722	2	0	3	0	256	212	-3	-4	-1.20657276995305	+	2000	PROMOTER	BtoA
chr10	18700000	18800000	-0.01156996702	0.01105236708	0.0226223341	chr10 18700000 18800000	chr10	18700000	18800000	-0.01156996702	0.01105236708	chr10	18742949	18744949	Arfgef3	1.83261457691872	NA	3	1	3	3	10	22	-2	0	2.09090909090909	+	2000	PROMOTER	BtoA
chr10	18800000	18900000	-0.01156996702	0.01105236708	0.0226223341	chr10 18800000 18900000	chr10	18800000	18900000	-0.01156996702	0.01105236708	chr10	18844020	18846020	Perp	NA	NA	2	4	4	8	19	29	1.66666666666667	1.8	1.5	+	2000	PROMOTER	BtoA
chr10	18800000	18900000	-0.01156996702	0.01105236708	0.0226223341	chr10 18800000 18900000	chr10	18800000	18900000	-0.01156996702	0.01105236708	chr10	18875300	18877300	Perp	NA	NA	4	2	2	1	7	15	-2	-2	2.14285714285714	+	2000	ENHANCER	BtoA
chr10	19200000	19300000	-0.01786154506	0.01440927925	0.03227082431	chr10 19200000 19300000	chr10	19200000	19300000	-0.01786154506	0.01440927925	chr10	19276300	19278300	Olig3	NA	NA	6	0	3	0	11	18	-Inf	-Inf	1.63636363636364	+	2000	ENHANCER	BtoA
chr10	19300000	19400000	-0.01786154506	0.01440927925	0.03227082431	chr10 19300000 19400000	chr10	19300000	19400000	-0.01786154506	0.01440927925	chr10	19355533	19357533	Olig3	NA	NA	8	2	2	4	14	26	-3	1.66666666666667	1.8	+	2000	PROMOTER	BtoA
chr10	19500000	19600000	-0.01786154506	0.01440927925	0.03227082431	chr10 19500000 19600000	chr10	19500000	19600000	-0.01786154506	0.01440927925	chr10	19590949	19592949	Ifngr1	1.00930587992729	2.42152314219576e-109	4	8	1	7	417	579	1.8	4	1.38755980861244	+	2000	PROMOTER	BtoA
chr10	19600000	19700000	-0.01786154506	0.01440927925	0.03227082431	chr10 19600000 19700000	chr10	19600000	19700000	-0.01786154506	0.01440927925	chr10	19620998	19622998	Il22ra2	0.38982909723421	NA	5	0	1	3	36	24	-6	2	-1.48	+	2000	PROMOTER	BtoA
chr10	19700000	19800000	-0.01786154506	0.01440927925	0.03227082431	chr10 19700000 19800000	chr10	19700000	19800000	-0.01786154506	0.01440927925	chr10	19711570	19713570	Il20ra	NA	NA	6	3	2	1	29	26	-1.75	-1.5	-1.11111111111111	+	2000	PROMOTER	BtoA
chr10	19800000	19900000	-0.01786154506	0.01440927925	0.03227082431	chr10 19800000 19900000	chr10	19800000	19900000	-0.01786154506	0.01440927925	chr10	19814400	19816400	Slc35d3	0.115949239546954	0.938383029200354	2	0	1	5	23	17	-Inf	5	-1.35294117647059	+	2000	ENHANCER	BtoA
chr10	19900000	20000000	-0.01786154506	0.01440927925	0.03227082431	chr10 19900000 20000000	chr10	19900000	20000000	-0.01786154506	0.01440927925	chr10	19906689	19908689	Pex7	0.149455140264836	0.0523075686350648	7	4	3	4	230	211	-1.6	1.25	-1.08962264150943	+	2000	PROMOTER	BtoA
chr10	19900000	20000000	-0.01786154506	0.01440927925	0.03227082431	chr10 19900000 20000000	chr10	19900000	20000000	-0.01786154506	0.01440927925	chr10	19925900	19929400	Map3k5	2.03419918201536	1.24000853259727e-39	6	1	6	3	16	21	-6	-2	1.3125	+	3500	ENHANCER	BtoA
chr10	19900000	20000000	-0.01786154506	0.01440927925	0.03227082431	chr10 19900000 20000000	chr10	19900000	20000000	-0.01786154506	0.01440927925	chr10	19933472	19935472	Map3k5	2.03419918201536	1.24000853259727e-39	2	3	2	3	150	130	1.33333333333333	1.33333333333333	-1.15267175572519	+	2000	PROMOTER	BtoA
chr10	20200000	20300000	-0.01786154506	0.01440927925	0.03227082431	chr10 20200000 20300000	chr10	20200000	20300000	-0.01786154506	0.01440927925	chr10	20296688	20298688	Mir6413	NA	NA	2	0	2	3	15	13	-3	1.33333333333333	-1.14285714285714	+	2000	PROMOTER	BtoA
chr10	20300000	20400000	-0.01786154506	0.01440927925	0.03227082431	chr10 20300000 20400000	chr10	20300000	20400000	-0.01786154506	0.01440927925	chr10	20311469	20313469	Bclaf1	-0.0717410304741513	0.336020657731688	0	2	2	5	826	1079	3	2	1.30592503022975	+	2000	PROMOTER	BtoA
chr10	20300000	20400000	-0.01786154506	0.01440927925	0.03227082431	chr10 20300000 20400000	chr10	20300000	20400000	-0.01786154506	0.01440927925	chr10	20346770	20348770	Mtfr2	-1.46542028820124	5.22711967791095e-27	7	5	2	3	202	116	-1.33333333333333	1.33333333333333	-1.73504273504274	+	2000	PROMOTER	BtoA
chr10	20700000	20800000	-0.01786154506	0.01440927925	0.03227082431	chr10 20700000 20800000	chr10	20700000	20800000	-0.01786154506	0.01440927925	chr10	20724078	20726078	Pde7b	0.526527385572601	0.807918893088437	3	4	1	2	23	34	1.25	1.5	1.45833333333333	+	2000	PROMOTER	BtoA
chr10	20900000	21000000	-0.01786154506	0.01440927925	0.03227082431	chr10 20900000 21000000	chr10	20900000	21000000	-0.01786154506	0.01440927925	chr10	20901900	20903900	Ahi1	0.38209103031575	4.8474809956236e-16	3	1	4	4	15	15	-3	0	0	+	2000	ENHANCER	BtoA
chr10	20900000	21000000	-0.01786154506	0.01440927925	0.03227082431	chr10 20900000 21000000	chr10	20900000	21000000	-0.01786154506	0.01440927925	chr10	20951547	20953547	Ahi1	0.38209103031575	4.8474809956236e-16	4	1	1	4	271	291	-2.5	2.5	1.07352941176471	+	2000	PROMOTER	BtoA
chr10	20900000	21000000	-0.01786154506	0.01440927925	0.03227082431	chr10 20900000 21000000	chr10	20900000	21000000	-0.01786154506	0.01440927925	chr10	20904200	20909400	Ahi1	0.38209103031575	4.8474809956236e-16	10	4	7	12	48	95	-2.5	1.71428571428571	1.97916666666667	+	5200	ENHANCER	BtoA
chr10	21000000	21100000	-0.01786154506	0.01440927925	0.03227082431	chr10 21000000 21100000	chr10	21000000	21100000	-0.01786154506	0.01440927925	chr10	21082200	21084200	Ahi1	0.38209103031575	4.8474809956236e-16	8	0	2	5	14	22	-Inf	2.5	1.57142857142857	+	2000	ENHANCER	BtoA
chr10	21100000	21200000	-0.01786154506	0.01440927925	0.03227082431	chr10 21100000 21200000	chr10	21100000	21200000	-0.01786154506	0.01440927925	chr10	21159984	21161984	Myb	NA	NA	0	2	1	4	21	21	3	2.5	0	+	2000	PROMOTER	BtoA
chr10	21200000	21300000	-0.01786154506	0.01440927925	0.03227082431	chr10 21200000 21300000	chr10	21200000	21300000	-0.01786154506	0.01440927925	chr10	21294979	21296979	Hbs1l	0.00745837506207917	0.907504458109898	7	2	5	5	184	121	-2.66666666666667	0	-1.51639344262295	+	2000	PROMOTER	BtoA
chr10	21200000	21300000	-0.01786154506	0.01440927925	0.03227082431	chr10 21200000 21300000	chr10	21200000	21300000	-0.01786154506	0.01440927925	chr10	21265000	21271600	Hbs1l	0.00745837506207917	0.907504458109898	18	6	10	4	38	66	-3	-2.5	1.73684210526316	+	6600	ENHANCER	BtoA
chr10	21300000	21400000	-0.01786154506	0.01440927925	0.03227082431	chr10 21300000 21400000	chr10	21300000	21400000	-0.01786154506	0.01440927925	chr10	21376291	21378291	Aldh8a1	-0.564214554526141	0.789445250264968	6	5	0	1	21	15	-1.16666666666667	2	-1.375	+	2000	PROMOTER	BtoA
chr10	22100000	22200000	-0.01765190426	0.01573283537	0.03338473963	chr10 22100000 22200000	chr10	22100000	22200000	-0.01765190426	0.01573283537	chr10	22157569	22159569	Raet1e	-0.213043192545477	0.000109102511210142	0	1	0	0	73	67	2	0	-1.08823529411765	+	2000	PROMOTER	BtoA
chr10	22100000	22200000	-0.01765190426	0.01573283537	0.03338473963	chr10 22100000 22200000	chr10	22100000	22200000	-0.01765190426	0.01573283537	chr10	22157586	22159586	H60b	0.38982909723421	NA	0	1	1	0	73	67	2	-2	-1.08823529411765	+	2000	PROMOTER	BtoA
chr10	22300000	22400000	-0.01765190426	0.01573283537	0.03338473963	chr10 22300000 22400000	chr10	22300000	22400000	-0.01765190426	0.01573283537	chr10	22359552	22361552	Raet1d	-1.0684357490925	0.000219377699199256	0	0	0	0	37	34	0	0	-1.08571428571429	+	2000	PROMOTER	BtoA
chr10	22600000	22700000	-0.01765190426	0.01573283537	0.03338473963	chr10 22600000 22700000	chr10	22600000	22700000	-0.01765190426	0.01573283537	chr10	22644011	22646011	Slc2a12	0.430841759257354	0.871870371122364	4	2	3	1	20	23	-1.66666666666667	-2	1.14285714285714	+	2000	PROMOTER	BtoA
chr10	22600000	22700000	-0.01765190426	0.01573283537	0.03338473963	chr10 22600000 22700000	chr10	22600000	22700000	-0.01765190426	0.01573283537	chr10	22607800	22610500	Slc2a12	0.430841759257354	0.871870371122364	4	2	1	2	19	22	-2	2	1.15789473684211	+	2700	ENHANCER	BtoA
chr10	22700000	22800000	-0.01765190426	0.01573283537	0.03338473963	chr10 22700000 22800000	chr10	22700000	22800000	-0.01765190426	0.01573283537	chr10	22730938	22732938	Tbpl1	0.221757460445714	0.0137321414779646	5	1	1	0	433	349	-3	-2	-1.24	+	2000	PROMOTER	BtoA
chr10	22700000	22800000	-0.01765190426	0.01573283537	0.03338473963	chr10 22700000 22800000	chr10	22700000	22800000	-0.01765190426	0.01573283537	chr10	22728432	22730432	Mir7663	NA	NA	10	3	2	3	32	22	-2.75	1.33333333333333	-1.43478260869565	+	2000	PROMOTER	BtoA
chr10	22800000	22900000	-0.01765190426	0.01573283537	0.03338473963	chr10 22800000 22900000	chr10	22800000	22900000	-0.01765190426	0.01573283537	chr10	22867700	22869700	Tcf21	NA	NA	5	2	0	4	14	11	-2.5	Inf	-1.27272727272727	+	2000	ENHANCER	BtoA
chr10	22800000	22900000	-0.01765190426	0.01573283537	0.03338473963	chr10 22800000 22900000	chr10	22800000	22900000	-0.01765190426	0.01573283537	chr10	22877200	22879200	Tcf21	NA	NA	6	1	3	3	32	21	-6	0	-1.52380952380952	+	2000	ENHANCER	BtoA
chr10	23000000	23100000	-0.01765190426	0.01573283537	0.03338473963	chr10 23000000 23100000	chr10	23000000	23100000	-0.01765190426	0.01573283537	chr10	23052600	23054600	Eya4	-0.950170564293803	5.8076370893015e-83	4	0	3	3	14	21	-Inf	0	1.5	+	2000	ENHANCER	BtoA
chr10	23800000	23900000	-0.01338952681	0.01093634632	0.02432587313	chr10 23800000 23900000	chr10	23800000	23900000	-0.01338952681	0.01093634632	chr10	23850462	23852462	Vnn3	1.11116986148538	NA	5	6	2	1	13	25	1.16666666666667	-1.5	1.85714285714286	+	2000	PROMOTER	BtoA
chr10	23800000	23900000	-0.01338952681	0.01093634632	0.02432587313	chr10 23800000 23900000	chr10	23800000	23900000	-0.01338952681	0.01093634632	chr10	23893688	23895688	Vnn1	0.651729017493732	0.579868851621575	6	4	3	4	42	15	-1.4	1.25	-2.6875	+	2000	PROMOTER	BtoA
chr10	23900000	24000000	-0.01338952681	0.01093634632	0.02432587313	chr10 23900000 24000000	chr10	23900000	24000000	-0.01338952681	0.01093634632	chr10	23937572	23939572	Taar2	NA	NA	4	4	4	1	21	12	0	-2.5	-1.69230769230769	+	2000	PROMOTER	BtoA
chr10	23900000	24000000	-0.01338952681	0.01093634632	0.02432587313	chr10 23900000 24000000	chr10	23900000	24000000	-0.01338952681	0.01093634632	chr10	23948558	23950558	Taar3	NA	NA	1	1	1	2	11	21	0	1.5	1.83333333333333	+	2000	PROMOTER	BtoA
chr10	23900000	24000000	-0.01338952681	0.01093634632	0.02432587313	chr10 23900000 24000000	chr10	23900000	24000000	-0.01338952681	0.01093634632	chr10	23959494	23961494	Taar4	NA	NA	6	1	3	2	83	156	-3.5	-1.33333333333333	1.86904761904762	+	2000	PROMOTER	BtoA
chr10	23900000	24000000	-0.01338952681	0.01093634632	0.02432587313	chr10 23900000 24000000	chr10	23900000	24000000	-0.01338952681	0.01093634632	chr10	23998939	24000939	Taar7b	NA	NA	2	0	2	0	59	76	-3	-3	1.28333333333333	+	2000	PROMOTER	BtoA
chr10	23900000	24000000	-0.01338952681	0.01093634632	0.02432587313	chr10 23900000 24000000	chr10	23900000	24000000	-0.01338952681	0.01093634632	chr10	23992481	23994481	Taar7a	NA	NA	4	1	3	1	39	63	-2.5	-2	1.6	+	2000	PROMOTER	BtoA
chr10	23900000	24000000	-0.01338952681	0.01093634632	0.02432587313	chr10 23900000 24000000	chr10	23900000	24000000	-0.01338952681	0.01093634632	chr10	23919356	23921356	Taar1	NA	NA	6	2	1	4	21	34	-2.33333333333333	2.5	1.59090909090909	+	2000	PROMOTER	BtoA
chr10	24000000	24100000	-0.01338952681	0.01093634632	0.02432587313	chr10 24000000 24100000	chr10	24000000	24100000	-0.01338952681	0.01093634632	chr10	24026222	24028222	Taar7d	NA	NA	2	1	1	3	52	76	-1.5	2	1.45283018867925	+	2000	PROMOTER	BtoA
chr10	24000000	24100000	-0.01338952681	0.01093634632	0.02432587313	chr10 24000000 24100000	chr10	24000000	24100000	-0.01338952681	0.01093634632	chr10	24048510	24050510	Taar7f	NA	NA	2	0	2	2	58	72	-3	0	1.23728813559322	+	2000	PROMOTER	BtoA
chr10	24000000	24100000	-0.01338952681	0.01093634632	0.02432587313	chr10 24000000 24100000	chr10	24000000	24100000	-0.01338952681	0.01093634632	chr10	24036614	24038614	Taar7e	NA	NA	1	0	1	4	51	68	-2	2.5	1.32692307692308	+	2000	PROMOTER	BtoA
chr10	24000000	24100000	-0.01338952681	0.01093634632	0.02432587313	chr10 24000000 24100000	chr10	24000000	24100000	-0.01338952681	0.01093634632	chr10	24075500	24077500	Taar8a	NA	NA	1	0	0	1	36	33	-2	2	-1.08823529411765	+	2000	PROMOTER	BtoA
chr10	24100000	24200000	-0.01338952681	0.01093634632	0.02432587313	chr10 24100000 24200000	chr10	24100000	24200000	-0.01338952681	0.01093634632	chr10	24108534	24110534	Taar9	NA	NA	3	2	1	3	13	21	-1.33333333333333	2	1.57142857142857	+	2000	PROMOTER	BtoA
chr10	24100000	24200000	-0.01338952681	0.01093634632	0.02432587313	chr10 24100000 24200000	chr10	24100000	24200000	-0.01338952681	0.01093634632	chr10	24100912	24102912	Taar8c	NA	NA	1	0	1	0	34	40	-2	-2	1.17142857142857	+	2000	PROMOTER	BtoA
chr10	24100000	24200000	-0.01338952681	0.01093634632	0.02432587313	chr10 24100000 24200000	chr10	24100000	24200000	-0.01338952681	0.01093634632	chr10	24148302	24150302	Stx7	3.78177776496573e-05	0.999579737614933	4	4	4	4	181	118	0	0	-1.52941176470588	+	2000	PROMOTER	BtoA
chr10	26000000	26100000	-0.02076166441	0.003744036958	0.024505701368	chr10 26000000 26100000	chr10	26000000	26100000	-0.02076166441	0.003744036958	chr10	26078052	26080052	Tmem200a	1.10176474973159	0.0765572073757555	5	2	2	2	17	19	-2	0	1.11111111111111	+	2000	PROMOTER	BtoA
chr10	27600000	27700000	-0.02076166441	0.02276715005	0.04352881446	chr10 27600000 27700000	chr10	27600000	27700000	-0.02076166441	0.02276715005	chr10	27618758	27620758	Lama2	-1.86464647189735	0.00394197875583294	3	3	1	4	7	17	0	2.5	2.25	+	2000	PROMOTER	BtoA
chr10	27900000	28000000	-0.02076166441	0.02276715005	0.04352881446	chr10 27900000 28000000	chr10	27900000	28000000	-0.02076166441	0.02276715005	chr10	27987400	27989400	Ptprk	0.199905901146978	0.0327967634841893	6	2	4	3	18	26	-3	-1.33333333333333	1.44444444444444	+	2000	ENHANCER	BtoA
chr10	28000000	28100000	-0.02076166441	0.02276715005	0.04352881446	chr10 28000000 28100000	chr10	28000000	28100000	-0.02076166441	0.02276715005	chr10	28073820	28075820	Ptprk	0.199905901146978	0.0327967634841893	3	1	2	0	227	165	-2	-3	-1.37349397590361	+	2000	PROMOTER	BtoA
chr10	28600000	28700000	-0.02076166441	0.02276715005	0.04352881446	chr10 28600000 28700000	chr10	28600000	28700000	-0.02076166441	0.02276715005	chr10	28667360	28669360	Themis	0.259214829457352	0.850617866236285	4	2	2	2	13	20	-1.66666666666667	0	1.5	+	2000	PROMOTER	BtoA
chr10	29300000	29400000	-0.02076166441	0.02276715005	0.04352881446	chr10 29300000 29400000	chr10	29300000	29400000	-0.02076166441	0.02276715005	chr10	29312166	29314166	Echdc1	0.173239463170552	6.69178152383476e-05	4	2	4	4	134	92	-1.66666666666667	0	-1.45161290322581	+	2000	PROMOTER	BtoA
chr10	29300000	29400000	-0.02076166441	0.02276715005	0.04352881446	chr10 29300000 29400000	chr10	29300000	29400000	-0.02076166441	0.02276715005	chr10	29361442	29363442	Rnf146	0.23938818647296	0.000132782352039941	3	0	5	6	422	428	-4	1.16666666666667	1.01418439716312	+	2000	PROMOTER	BtoA
chr10	29500000	29600000	-0.02076166441	0.02276715005	0.04352881446	chr10 29500000 29600000	chr10	29500000	29600000	-0.02076166441	0.02276715005	chr10	29534867	29536867	Rspo3	-2.14169396493348	7.59629510503929e-14	5	5	6	3	47	22	0	-1.75	-2.08695652173913	+	2000	PROMOTER	BtoA
chr10	29600000	29700000	-0.02076166441	0.02276715005	0.04352881446	chr10 29600000 29700000	chr10	29600000	29700000	-0.02076166441	0.02276715005	chr10	29692200	29695100	Rspo3	-2.14169396493348	7.59629510503929e-14	9	1	7	3	20	22	-9	-2.33333333333333	1.1	+	2900	ENHANCER	BtoA
chr10	30200000	30300000	-0.02076166441	0.02276715005	0.04352881446	chr10 30200000 30300000	chr10	30200000	30300000	-0.02076166441	0.02276715005	chr10	30199560	30201560	Cenpw	-0.906251762976708	2.66401567541056e-19	5	2	3	7	184	141	-2	2	-1.30281690140845	+	2000	PROMOTER	BtoA
chr10	30600000	30700000	-0.02076166441	0.02276715005	0.04352881446	chr10 30600000 30700000	chr10	30600000	30700000	-0.02076166441	0.02276715005	chr10	30599749	30601749	Trmt11	0.0772190427550485	0.403016261461857	0	2	4	1	134	102	3	-2.5	-1.31067961165049	+	2000	PROMOTER	BtoA
chr10	30600000	30700000	-0.02076166441	0.02276715005	0.04352881446	chr10 30600000 30700000	chr10	30600000	30700000	-0.02076166441	0.02276715005	chr10	30628632	30630632	Hint3	0.334201060601184	0.001037169742099	4	6	4	3	15	14	1.4	-1.25	-1.06666666666667	+	2000	PROMOTER	BtoA
chr10	30800000	30900000	-0.02076166441	0.02276715005	0.04352881446	chr10 30800000 30900000	chr10	30800000	30900000	-0.02076166441	0.02276715005	chr10	30802326	30804326	Ncoa7	0.0557255621970186	0.579399399888708	5	3	4	7	347	264	-1.5	1.6	-1.31320754716981	+	2000	PROMOTER	BtoA
chr10	30800000	30900000	-0.02076166441	0.02276715005	0.04352881446	chr10 30800000 30900000	chr10	30800000	30900000	-0.02076166441	0.02276715005	chr10	30841801	30843801	Hey2	1.11116986148538	NA	5	1	0	3	17	20	-3	4	1.16666666666667	+	2000	PROMOTER	BtoA
chr10	30900000	31000000	-0.02076166441	0.02276715005	0.04352881446	chr10 30900000 31000000	chr10	30900000	31000000	-0.02076166441	0.02276715005	chr10	30979000	30981700	Hey2	1.11116986148538	NA	4	1	3	8	19	37	-4	2.66666666666667	1.94736842105263	+	2700	ENHANCER	BtoA
chr10	31200000	31300000	-0.02076166441	0.02276715005	0.04352881446	chr10 31200000 31300000	chr10	31200000	31300000	-0.02076166441	0.02276715005	chr10	31252200	31254200	Hddc2	-0.00139990460140816	0.989713592243513	3	0	4	1	19	12	-Inf	-4	-1.58333333333333	+	2000	ENHANCER	BtoA
chr10	31200000	31300000	-0.02076166441	0.02276715005	0.04352881446	chr10 31200000 31300000	chr10	31200000	31300000	-0.02076166441	0.02276715005	chr10	31271800	31273800	Hddc2	-0.00139990460140816	0.989713592243513	11	3	2	2	21	21	-3.66666666666667	0	0	+	2000	ENHANCER	BtoA
