chr	enhancer_starts	enhancer_ends	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me1	DAY4_H3K4me1	H3K27ac_FC	H3K4me3_FC	fragMEAN	log2FoldChange	padj
chr19	9953800	9957800	Fth1	152	136	52	68	-1.11764705882353	1.30769230769231	102	-0.869548532593491	4.97231310765352e-152
chr6	125421300	125425400	Cd9	146	142	43	71	-1.02816901408451	1.65116279069767	100.5	0.301792792523388	5.9779293731929e-15
chr17	79562600	79566600	Rmdn2	80	126	86	102	1.575	1.18604651162791	98.5	0.201468076359972	0.218818859517998
chr6	88924000	88928200	Tpra1	114	86	74	106	-1.32558139534884	1.43243243243243	95	0.625762755484571	4.01081831592044e-14
chr4	55649500	55653500	Klf4	130	132	52	63	1.01538461538462	1.21153846153846	94.25	2.30426284382789	0
chr17	74865800	74871800	Ttc27	106	71	96	103	-1.49295774647887	1.07291666666667	94	-0.159669807526156	0.00971917563975725
chr19	9104300	9107900	Scgb1a1	98	95	69	110	-1.03157894736842	1.59420289855072	93	1.35113408077575	0.644385711365574
chr5	33696000	33700400	Fgfr3	78	69	86	133	-1.1304347826087	1.54651162790698	91.5	0.567429891389502	5.41344403887778e-20
chr6	91198600	91202400	Fbln2	126	84	71	83	-1.5	1.16901408450704	91	-1.15941066048692	1.73436418297598e-166
chr11	94927000	94931000	Col1a1	123	103	53	79	-1.19417475728155	1.49056603773585	89.5	1.60088132945072	2.4029044253503e-126
chr2	110176000	110181000	Bbox1	122	89	58	86	-1.37078651685393	1.48275862068966	88.75	NA	NA
chr1	45764200	45768200	Wdr75	136	116	36	65	-1.17241379310345	1.80555555555556	88.25	-0.147060881225212	0.0132321715922701
chr2	27772200	27776400	Rxra	102	103	77	69	1.00980392156863	-1.11594202898551	87.75	-0.327517877002571	1.92392221752377e-31
chr12	55460800	55467000	Nfkbia	126	83	62	79	-1.51807228915663	1.2741935483871	87.5	0.447201757643082	1.26918613094886e-10
chr8	125343300	125356400	Sipa1l2	61	68	103	114	1.11475409836066	1.10679611650485	86.5	0.0950854542503884	0.283006676102018
chr1	133948600	133954800	Prelp	84	86	74	95	1.02380952380952	1.28378378378378	84.75	0.683448502825698	2.1111685259342e-28
chr2	167249400	167253000	Ptgis	117	84	64	71	-1.39285714285714	1.109375	84	1.96501786134129	2.39712354826783e-66
chr6	115522100	115525700	Tsen2	113	74	64	81	-1.52702702702703	1.265625	83	0.0571169794725165	0.534561218304283
chr2	73002200	73006200	Sp3os	126	106	49	45	-1.18867924528302	-1.08888888888889	81.5	-0.626090320407586	1.30478421487497e-06
chr15	77354000	77360500	Apol7a	112	111	54	48	-1.00900900900901	-1.125	81.25	0.165956709948561	0.825742481033886
chr6	86583300	86586900	Asprv1	109	101	46	66	-1.07920792079208	1.43478260869565	80.5	0.212277586593102	0.871661340945956
chr5	64875800	64879600	Klf3	119	102	36	62	-1.16666666666667	1.72222222222222	79.75	0.662343381567193	4.00844777306077e-31
chr1	90718600	90722500	Col6a3	92	78	68	77	-1.17948717948718	1.13235294117647	78.75	0.00121671320178847	0.987389992156296
chr6	30525000	30530200	Ssmem1	75	84	77	77	1.12	0	78.25	-1.0691193715241	0.287856594182166
chr6	112265700	112269500	Lmcd1	85	68	81	79	-1.25	-1.0253164556962	78.25	-0.394356577288989	9.80450841779897e-13
chr11	22628100	22633000	Tmem17	93	91	55	67	-1.02197802197802	1.21818181818182	76.5	-0.385695400746035	0.00910308569646339
chr11	86892600	86900600	Ypel2	58	52	73	122	-1.11538461538462	1.67123287671233	76.25	0.309554830959532	3.96518630975269e-07
chr6	51206200	51212600	Mir148a	74	86	61	83	1.16216216216216	1.36065573770492	76	NA	NA
chr8	94784200	94789600	Cx3cl1	93	69	64	76	-1.34782608695652	1.1875	75.5	-1.16452014339347	8.48093910998636e-57
chr2	102942600	102945600	Cd44	75	110	43	73	1.46666666666667	1.69767441860465	75.25	-0.723566492446289	2.00329971738511e-145
chr6	146007800	146011200	Sspn	81	72	56	92	-1.125	1.64285714285714	75.25	-0.437676139725566	4.17449738016532e-32
chr16	15083000	15087000	Efcab1	100	127	34	40	1.27	1.17647058823529	75.25	-0.499619837264208	0.83893606179593
chr6	127853400	127857100	Tspan11	67	75	66	91	1.11940298507463	1.37878787878788	74.75	0.333894689246723	5.92872421757769e-05
chr16	87317600	87321200	N6amt1	77	104	44	74	1.35064935064935	1.68181818181818	74.75	0.0049419923898582	0.939298749473649
chr11	94880600	94882800	Col1a1	143	95	24	35	-1.50526315789474	1.45833333333333	74.25	1.60088132945072	2.4029044253503e-126
chr5	36713400	36717700	D5Ertd579e	100	61	61	73	-1.63934426229508	1.19672131147541	73.75	-0.321312598462845	1.19687196532673e-16
chr15	97101200	97106000	Slc38a4	86	69	63	73	-1.2463768115942	1.15873015873016	72.75	-0.0984775787261647	0.696612009895734
chr16	15051600	15056400	Efcab1	78	64	65	84	-1.21875	1.29230769230769	72.75	-0.499619837264208	0.83893606179593
chr6	136896800	136899200	Mgp	111	71	36	71	-1.56338028169014	1.97222222222222	72.25	-1.79700294741981	9.2975482444734e-248
chr7	16293400	16298800	Ccdc9	110	83	34	61	-1.32530120481928	1.79411764705882	72	0.397602837554014	4.94559763489927e-14
chr9	102641800	102646400	Anapc13	108	82	36	62	-1.31707317073171	1.72222222222222	72	0.00769791817940392	0.945964927705001
chr2	27834200	27837000	Col5a1	87	73	53	74	-1.19178082191781	1.39622641509434	71.75	0.785565790215337	1.36963084557981e-96
chr2	166178200	166182600	Sulf2	101	79	40	67	-1.27848101265823	1.675	71.75	-1.34835937686278	1.29446463312084e-78
chr11	69251000	69254200	Gucy2e	87	87	44	68	0	1.54545454545455	71.5	2.79018288647199	4.17512670811536e-05
chr13	51311200	51316600	S1pr3	77	60	77	70	-1.28333333333333	-1.1	71	3.56747860232361	0.00551930395365005
chr10	23674000	23677200	Snora33	106	58	44	74	-1.82758620689655	1.68181818181818	70.5	NA	NA
chr16	15251100	15255200	Ube2v2	77	83	52	69	1.07792207792208	1.32692307692308	70.25	0.193189769909938	0.00840465856608729
chr11	79736400	79739800	Mir365-2	74	61	65	80	-1.21311475409836	1.23076923076923	70	0.389853265063764	NA
chr3	95692400	95697000	Adamtsl4	66	50	72	90	-1.32	1.25	69.5	-1.72914069865951	2.33396499878069e-103
chr6	36818000	36820600	Ptn	90	62	63	62	-1.45161290322581	-1.01612903225806	69.25	-1.84938816245552	4.38435162895849e-280
chr2	30455700	30459500	Ptpa	91	76	49	59	-1.19736842105263	1.20408163265306	68.75	-0.0888709827146265	0.00873806037552093
chr1	75343400	75350400	Des	63	68	56	87	1.07936507936508	1.55357142857143	68.5	0.489917649083333	0.0112231501019697
chr13	52825100	52833800	BB123696	61	61	61	91	0	1.49180327868852	68.5	0.417888160580295	0.83373661716296
chr4	135285400	135289600	Clic4	97	76	39	54	-1.27631578947368	1.38461538461538	66.5	0.232528901090602	2.79470948331704e-26
chr14	20891400	20894900	Vcl	82	71	59	53	-1.15492957746479	-1.11320754716981	66.25	-0.00948427376120507	0.781331586429751
chr6	72458000	72461500	Mat2a	39	51	74	100	1.30769230769231	1.35135135135135	66	-0.4636988041175	3.14086694003717e-33
chr5	33703800	33708400	Fgfr3	53	52	68	90	-1.01923076923077	1.32352941176471	65.75	0.567429891389502	5.41344403887778e-20
chr6	116001800	116008000	Plxnd1	56	58	78	69	1.03571428571429	-1.1304347826087	65.25	-0.346592208467991	0.000113317415084522
chr1	45760200	45762600	Wdr75	59	84	52	65	1.42372881355932	1.25	65	-0.147060881225212	0.0132321715922701
chr9	54800000	54804000	Crabp1	80	63	49	65	-1.26984126984127	1.3265306122449	64.25	NA	NA
chr12	73033700	73037100	Six1	123	64	18	52	-1.921875	2.88888888888889	64.25	-1.25747463991305	1.83104916329769e-114
chr11	114825900	114831700	Gprc5c	64	74	49	68	1.15625	1.38775510204082	63.75	2.31872076804547	0
chr1	193516200	193519200	Mir205	60	65	59	68	1.08333333333333	1.15254237288136	63	NA	NA
chr8	125284600	125289400	Disc1	79	58	52	62	-1.36206896551724	1.19230769230769	62.75	0.241984632512346	0.671631216077911
chr6	4435700	4437700	Col1a2	83	100	28	37	1.20481927710843	1.32142857142857	62	1.24791174823891	2.07733454043099e-87
chr7	141046000	141049900	B4galnt4	113	68	26	41	-1.66176470588235	1.57692307692308	62	-0.0118831132069519	0.994605775234095
chr1	155091200	155094800	Ier5	76	63	43	64	-1.20634920634921	1.48837209302326	61.5	-0.790006527501231	4.53817415008467e-37
chr9	35357200	35361106	Cdon	76	66	38	65	-1.15151515151515	1.71052631578947	61.25	-1.285677529862	1.47523215151003e-151
chr8	79206400	79209600	Zfp827	90	82	26	45	-1.09756097560976	1.73076923076923	60.75	-0.520021394861582	7.29600572816249e-08
chr6	37590000	37594600	Akr1d1	61	72	39	70	1.18032786885246	1.79487179487179	60.5	1.35018710063275	0.646008596668913
chr9	63918400	63924200	Smad6	56	57	50	79	1.01785714285714	1.58	60.5	-0.38168791578053	1.70476074398966e-06
chr11	54879600	54883400	Hint1	46	58	56	82	1.26086956521739	1.46428571428571	60.5	-0.02101137974699	0.681998954567429
chr1	134061600	134068400	Btg2	41	58	50	91	1.41463414634146	1.82	60	0.274492185868309	5.26147609866143e-11
chr11	95630900	95636200	Phb	44	60	61	75	1.36363636363636	1.22950819672131	60	0.0355263590911713	0.67538365620749
chr16	4584900	4588800	Glis2	78	61	43	58	-1.27868852459016	1.34883720930233	60	1.07177832576595	8.87324451728116e-166
chr17	74990400	74996200	Ltbp1	85	71	47	37	-1.19718309859155	-1.27027027027027	60	-0.599945609778717	1.00050423981996e-35
chr10	37615500	37618900	Marcks	75	64	47	52	-1.171875	1.1063829787234	59.5	-0.997450790472295	9.06634912678416e-128
chr4	155233200	155238800	Ski	77	66	38	56	-1.16666666666667	1.47368421052632	59.25	-0.618748695642923	7.87022012543527e-93
chr1	189706000	189709600	Cenpf	68	43	70	55	-1.58139534883721	-1.27272727272727	59	-1.61113582180083	3.56837041894062e-83
chr1	192795600	192801000	Hhat	73	55	48	60	-1.32727272727273	1.25	59	0.519691916167711	1.02492426544626e-11
chr4	134733200	134737800	Ldlrap1	52	65	56	62	1.25	1.10714285714286	58.75	1.41874854190308	2.00877405987609e-117
chr16	87305000	87308200	N6amt1	62	74	47	50	1.19354838709677	1.06382978723404	58.25	0.0049419923898582	0.939298749473649
chr2	73018500	73025500	Sp3os	59	60	49	63	1.01694915254237	1.28571428571429	57.75	-0.626090320407586	1.30478421487497e-06
chr10	125785200	125789200	Lrig3	89	72	35	33	-1.23611111111111	-1.06060606060606	57.25	-1.26869808397792	2.84693231371608e-92
chr17	44431300	44434100	Clic5	64	71	39	55	1.109375	1.41025641025641	57.25	2.17090544483512	6.43953525604857e-16
chr8	126600800	126604200	Irf2bp2	55	70	38	65	1.27272727272727	1.71052631578947	57	0.238272754920365	1.03773257979431e-07
chr12	111690600	111696400	Trmt61a	49	51	61	67	1.04081632653061	1.09836065573771	57	0.469231555206642	2.56414973904869e-10
chr6	30648600	30650600	Cep41	75	66	46	40	-1.13636363636364	-1.15	56.75	-0.0807209153375395	0.186978627935184
chr4	56372500	56374500	Actl7b	61	78	32	54	1.27868852459016	1.6875	56.25	NA	NA
chr9	35399800	35406600	Cdon	61	43	58	63	-1.41860465116279	1.08620689655172	56.25	-1.285677529862	1.47523215151003e-151
chr12	86814400	86819800	Irf2bpl	50	59	54	62	1.18	1.14814814814815	56.25	-0.313831264871997	8.24799706973644e-06
chr17	14626300	14629300	Thbs2	74	72	24	55	-1.02777777777778	2.29166666666667	56.25	-1.01681749693163	3.89398558489675e-164
chr6	72277000	72282000	Sftpb	48	34	61	81	-1.41176470588235	1.32786885245902	56	0.38982909723421	NA
chr8	119423800	119427200	Osgin1	65	46	48	64	-1.41304347826087	1.33333333333333	55.75	-1.60609136050071	2.6951452574772e-47
chr5	33691800	33695200	Tacc3	56	55	42	69	-1.01818181818182	1.64285714285714	55.5	-1.16337675848584	7.07214475952947e-140
chr6	112971000	112975000	Srgap3	43	46	65	67	1.06976744186047	1.03076923076923	55.25	0.316959165488881	7.81472460726689e-19
chr10	77208500	77212300	Col18a1	68	54	41	58	-1.25925925925926	1.41463414634146	55.25	-0.461528135462858	2.66394415525672e-12
chr17	44299500	44301500	Clic5	61	61	38	61	0	1.60526315789474	55.25	2.17090544483512	6.43953525604857e-16
chr6	30709200	30715800	Mest	51	39	48	81	-1.30769230769231	1.6875	54.75	-1.76794476773135	0
chr11	8691000	8694200	Tns3	73	45	38	62	-1.62222222222222	1.63157894736842	54.5	-0.807456019276827	1.364157152241e-83
chr17	87056800	87059000	Cript	82	58	31	47	-1.41379310344828	1.51612903225806	54.5	0.142703766861672	0.0944840547412308
chr6	145854000	145857500	Bhlhe41	64	50	38	65	-1.28	1.71052631578947	54.25	0.417997978104748	0.00153930116687034
chr19	53552000	53556000	Dusp5	52	30	68	67	-1.73333333333333	-1.01492537313433	54.25	-0.453640459759816	0.00714658968566192
chr2	75765800	75771300	Agps	74	57	35	50	-1.29824561403509	1.42857142857143	54	-0.033223221505228	0.735538993719964
chr15	83292200	83296500	Arfgap3	62	52	38	64	-1.19230769230769	1.68421052631579	54	1.36941482151889	1.17764333449151e-177
chr15	83222800	83225000	A4galt	105	53	23	34	-1.9811320754717	1.47826086956522	53.75	-0.679232442403376	4.20615139592796e-16
chr4	106861600	106867600	Ssbp3	56	42	58	58	-1.33333333333333	0	53.5	-0.861794309401109	1.19562735597278e-99
chr10	77212600	77218600	Pofut2	56	44	73	41	-1.27272727272727	-1.78048780487805	53.5	0.789739940404247	1.93115743519727e-88
chr5	135274000	135278100	Fzd9	69	70	27	47	1.01449275362319	1.74074074074074	53.25	1.7664638371144	3.72120993919323e-16
chr7	98522400	98525400	Lrrc32	64	43	36	70	-1.48837209302326	1.94444444444444	53.25	-0.249486782612261	0.203482250662605
chr10	76650300	76652300	Col6a2	69	65	36	43	-1.06153846153846	1.19444444444444	53.25	0.110946142050067	0.000173077827805794
chr3	145702800	145706000	Ddah1	53	54	35	70	1.0188679245283	2	53	-0.881454867461753	2.17370004913439e-36
chr11	4294000	4297800	Lif	40	29	73	70	-1.37931034482759	-1.04285714285714	53	0.466613015286325	0.0433697504218821
chr8	46848100	46852500	Irf2	52	54	34	71	1.03846153846154	2.08823529411765	52.75	-0.129304702415767	0.106542779736687
chr11	101829600	101832600	Etv4	42	44	59	66	1.04761904761905	1.11864406779661	52.75	0.522731549443252	0.000292683112844757
chr13	82057900	82061000	Cetn3	68	77	25	41	1.13235294117647	1.64	52.75	0.328616453858293	6.86315840153176e-08
chr18	5132800	5135000	Svil	93	67	14	36	-1.38805970149254	2.57142857142857	52.5	-0.309210735377921	2.21098186362489e-10
chr3	54411500	54415700	Postn	55	51	54	48	-1.07843137254902	-1.125	52	-1.40733046794917	3.24478344867476e-237
chr1	60654700	60659900	Cd28	24	53	36	94	2.20833333333333	2.61111111111111	51.75	1.78519651311865	0.0139500100748119
chr6	136887000	136890300	Mgp	63	39	51	54	-1.61538461538462	1.05882352941176	51.75	-1.79700294741981	9.2975482444734e-248
chr7	67461400	67464600	Lrrc28	70	50	31	56	-1.4	1.80645161290323	51.75	0.530080105969495	4.4842915578454e-11
chr8	27057200	27062800	Plpbp	55	41	57	54	-1.34146341463415	-1.05555555555556	51.75	0.10704481949481	0.232618258718165
chr17	14594200	14597600	Thbs2	50	53	49	53	1.06	1.08163265306122	51.25	-1.01681749693163	3.89398558489675e-164
chr1	181229000	181235800	Wdr26	53	61	29	61	1.15094339622642	2.10344827586207	51	0.374073637949262	6.9229010542476e-21
chr2	28597626	28605200	Gfi1b	41	45	50	68	1.09756097560976	1.36	51	1.11115634973152	NA
chr4	56112900	56114900	Klf4	65	62	32	45	-1.04838709677419	1.40625	51	2.30426284382789	0
chr7	28801200	28805000	Hnrnpl	75	63	22	43	-1.19047619047619	1.95454545454545	50.75	-0.286745904473329	2.66240061741859e-34
chr11	75290600	75295600	Rpa1	38	42	54	69	1.10526315789474	1.27777777777778	50.75	-0.89408286348337	2.098057385865e-170
chr4	40875800	40878000	B4galt1	58	58	35	51	0	1.45714285714286	50.5	-0.137264718704118	0.000206058265876629
chr8	126908600	126910600	Tomm20	38	33	61	69	-1.15151515151515	1.13114754098361	50.25	0.142530185392232	0.0338736544392805
chr10	77218900	77227600	Pofut2	49	45	53	54	-1.08888888888889	1.0188679245283	50.25	0.789739940404247	1.93115743519727e-88
chr2	144244970	144248800	Snx5	42	56	45	56	1.33333333333333	1.24444444444444	49.75	0.021351390634518	0.578071244575028
chr10	126143400	126146600	Lrig3	74	67	26	32	-1.1044776119403	1.23076923076923	49.75	-1.26869808397792	2.84693231371608e-92
chr2	26554300	26557700	Egfl7	47	44	43	64	-1.06818181818182	1.48837209302326	49.5	-2.4357274904217	0.0109506183113611
chr2	167818100	167822000	Ptpn1	45	34	55	64	-1.32352941176471	1.16363636363636	49.5	0.260069618017599	0.00183782159170629
chr11	61614900	61617600	Epn2	69	52	31	46	-1.32692307692308	1.48387096774194	49.5	-0.179389272576009	0.000114863285588083
chr11	79906200	79909800	Utp6	59	57	31	51	-1.03508771929825	1.64516129032258	49.5	-0.255741581078899	4.06385331010499e-10
chr10	94989600	94993400	Plxnc1	63	55	34	45	-1.14545454545455	1.32352941176471	49.25	-0.732192247169987	1.19869936991779e-07
chr11	94876600	94878600	Col1a1	40	59	43	55	1.475	1.27906976744186	49.25	1.60088132945072	2.4029044253503e-126
chr1	194925400	194929000	Cd34	38	59	45	54	1.55263157894737	1.2	49	-2.67745968754278	9.53659612526562e-271
chr8	125388200	125392400	Sipa1l2	45	30	52	69	-1.5	1.32692307692308	49	0.0950854542503884	0.283006676102018
chr12	85453800	85457800	Fos	63	52	39	42	-1.21153846153846	1.07692307692308	49	1.02057129711214	1.06929544348005e-20
chr2	27785400	27787400	Rxra	66	57	22	50	-1.15789473684211	2.27272727272727	48.75	-0.327517877002571	1.92392221752377e-31
chr2	167253700	167255700	Ptgis	61	74	27	33	1.21311475409836	1.22222222222222	48.75	1.96501786134129	2.39712354826783e-66
chr6	84216600	84220400	Dysf	34	41	55	65	1.20588235294118	1.18181818181818	48.75	1.16712064063661	1.64906158911478e-29
chr10	88320300	88322300	Dram1	63	83	16	33	1.31746031746032	2.0625	48.75	-0.179352757476811	0.00111768072892647
chr17	73969800	73971800	Xdh	70	67	23	35	-1.04477611940298	1.52173913043478	48.75	1.35414877959668	6.81345791094077e-93
chr6	91179600	91182400	Hdac11	55	25	53	61	-2.2	1.15094339622642	48.5	-0.200597318522359	0.057340163754351
chr15	77882000	77884200	Myh9	78	40	36	40	-1.95	1.11111111111111	48.5	-0.388037313823028	1.20247708408553e-56
chr16	15194400	15196400	Efcab1	77	60	26	30	-1.28333333333333	1.15384615384615	48.25	-0.499619837264208	0.83893606179593
chr16	44611100	44618400	Boc	42	23	68	60	-1.82608695652174	-1.13333333333333	48.25	0.849526817235809	1.39295024372809e-60
chr3	102525000	102527400	Ngf	66	57	34	35	-1.15789473684211	1.02941176470588	48	-2.45497796674669	2.48337183806819e-50
chr13	73440400	73450600	Lpcat1	38	31	45	78	-1.2258064516129	1.73333333333333	48	-0.0785875862600237	0.269368359956956
chr17	14639700	14641700	Thbs2	69	61	37	23	-1.13114754098361	-1.60869565217391	47.5	-1.01681749693163	3.89398558489675e-164
chr17	45699200	45703500	Mrpl14	39	39	39	73	0	1.87179487179487	47.5	0.122669811379648	0.0525032499449104
chr1	133977000	133979200	Prelp	60	71	20	38	1.18333333333333	1.9	47.25	0.683448502825698	2.1111685259342e-28
chr2	27801500	27803500	Rxra	73	53	38	25	-1.37735849056604	-1.52	47.25	-0.327517877002571	1.92392221752377e-31
chr2	27870100	27873700	Col5a1	38	39	41	71	1.02631578947368	1.73170731707317	47.25	0.785565790215337	1.36963084557981e-96
chr6	72188400	72191200	Atoh8	58	37	37	56	-1.56756756756757	1.51351351351351	47	-1.25252285442499	1.08216344359851e-31
chr6	135087600	135089600	Gprc5a	72	54	23	39	-1.33333333333333	1.69565217391304	47	-0.529009308423576	2.72340777045462e-08
chr10	80937000	80939600	Gadd45b	31	48	46	63	1.54838709677419	1.3695652173913	47	1.67975654783897	2.38860326359046e-269
chr5	33688200	33691000	Tacc3	41	43	44	59	1.04878048780488	1.34090909090909	46.75	-1.16337675848584	7.07214475952947e-140
chr10	37602800	37604800	Marcks	54	59	26	48	1.09259259259259	1.84615384615385	46.75	-0.997450790472295	9.06634912678416e-128
chr11	76253100	76257100	Mrm3	45	37	41	64	-1.21621621621622	1.5609756097561	46.75	-0.29931535832003	0.00196321402383996
chr1	156778600	156783000	Ralgps2	63	54	25	44	-1.16666666666667	1.76	46.5	-1.28596289073726	1.32525825736428e-25
chr5	74157100	74163800	Rasl11b	34	21	48	83	-1.61904761904762	1.72916666666667	46.5	-0.674019844776619	1.15462289938231e-05
chr9	65545200	65548600	Plekho2	59	37	31	59	-1.59459459459459	1.90322580645161	46.5	1.10885083978307	3.49725109401978e-141
chr16	95741100	95744900	Ets2	43	32	55	56	-1.34375	1.01818181818182	46.5	-0.183797338462417	0.000262621886194201
chr17	26705400	26711200	Crebrf	47	36	51	52	-1.30555555555556	1.01960784313725	46.5	0.452076073794711	2.66689683141428e-10
chr2	32124200	32134000	Prrc2b	43	46	47	49	1.06976744186047	1.04255319148936	46.25	-0.393548177764704	1.64349460387119e-15
chr4	132944800	132947200	Fam76a	87	54	15	29	-1.61111111111111	1.93333333333333	46.25	-0.0378096913361947	0.572171288252123
chr12	9338400	9342400	Osr1	47	44	36	58	-1.06818181818182	1.61111111111111	46.25	-1.53988928118939	1.37526015809797e-149
chr3	107792700	107794700	Csf1	64	48	28	44	-1.33333333333333	1.57142857142857	46	-0.863718695328682	6.70442738668815e-36
chr1	182025200	182029000	Enah	43	30	36	74	-1.43333333333333	2.05555555555556	45.75	-0.188512992203926	0.00415672373414636
chr2	27826100	27829300	Col5a1	31	37	76	39	1.19354838709677	-1.94871794871795	45.75	0.785565790215337	1.36963084557981e-96
chr18	58441700	58445700	Slc27a6	45	54	40	44	1.2	1.1	45.75	-0.417667457314448	0.543539127566035
chr19	34444900	34446900	Ch25h	43	71	28	40	1.65116279069767	1.42857142857143	45.5	0.259882690367178	0.535274574192369
chr6	72925900	72927900	Kcmf1	66	55	25	35	-1.2	1.4	45.25	0.216283324615736	1.64230862849623e-06
chr6	125455000	125457000	Cd9	33	41	50	57	1.24242424242424	1.14	45.25	0.301792792523388	5.9779293731929e-15
chr7	129743600	129745600	Wdr11	48	72	21	40	1.5	1.9047619047619	45.25	-0.0311346137347136	0.531047940133519
chr13	60408800	60411600	Dapk1	67	50	25	39	-1.34	1.56	45.25	4.21298241231864	0.0218256097098228
chr1	192785000	192788000	Hhat	25	27	67	61	1.08	-1.09836065573771	45	0.519691916167711	1.02492426544626e-11
chr2	110190400	110193800	Bbox1	50	33	53	44	-1.51515151515152	-1.20454545454545	45	NA	NA
chr4	56638000	56640400	Actl7b	56	49	31	44	-1.14285714285714	1.41935483870968	45	NA	NA
chr10	126970800	126973600	Ctdsp2	60	32	47	41	-1.875	-1.14634146341463	45	-0.0456295263414478	0.18320196048585
chr13	99763200	99766800	Cartpt	29	51	40	60	1.75862068965517	1.5	45	-0.0639314283475696	0.970730794031638
chr2	110185800	110189400	Bbox1	49	30	36	64	-1.63333333333333	1.77777777777778	44.75	NA	NA
chr6	47389900	47391900	Cul1	51	66	21	41	1.29411764705882	1.95238095238095	44.75	-0.0153177082155175	0.727305397727793
chr8	84283100	84286300	Ccdc130	63	66	21	29	1.04761904761905	1.38095238095238	44.75	0.380392912490346	0.0290238985925397
chr12	69536800	69539600	Vcpkmt	60	53	38	28	-1.13207547169811	-1.35714285714286	44.75	0.0631369399719975	0.648297009322879
chr2	75756300	75758300	Nfe2l2	54	53	24	47	-1.0188679245283	1.95833333333333	44.5	-0.000853016119851498	0.988853943193187
chr11	61463600	61467000	Rnf112	35	34	47	62	-1.02941176470588	1.31914893617021	44.5	-0.331492141191464	0.928738232125505
chr1	194929200	194931200	Cd34	55	42	32	48	-1.30952380952381	1.5	44.25	-2.67745968754278	9.53659612526562e-271
chr3	55095800	55098400	Spg20	55	66	23	33	1.2	1.43478260869565	44.25	-0.0439160308749754	0.311471822592478
chr3	103716000	103718200	Olfml3	76	59	15	27	-1.28813559322034	1.8	44.25	1.12676298339322	1.97132954597433e-108
chr5	64860200	64863000	Klf3	63	58	24	32	-1.08620689655172	1.33333333333333	44.25	0.662343381567193	4.00844777306077e-31
chr7	139271600	139274400	Pwwp2b	60	33	36	48	-1.81818181818182	1.33333333333333	44.25	0.26192464161194	7.44700476884308e-07
chr17	35807400	35809400	Ier3	69	59	21	28	-1.16949152542373	1.33333333333333	44.25	1.19838806894324	6.3493084401609e-65
chr1	133118200	133121600	Ppp1r15b	57	35	38	46	-1.62857142857143	1.21052631578947	44	0.0541810374011239	0.205596723446406
chr13	32491400	32495300	Gmds	70	44	30	32	-1.59090909090909	1.06666666666667	44	-0.433114017169383	1.43915839234623e-12
chr2	166168000	166171200	Sulf2	29	24	64	58	-1.20833333333333	-1.10344827586207	43.75	-1.34835937686278	1.29446463312084e-78
chr5	104406400	104408600	Spp1	67	57	18	33	-1.17543859649123	1.83333333333333	43.75	1.0921502613241	6.8434685982219e-43
chr10	126141300	126143300	Lrig3	82	56	16	21	-1.46428571428571	1.3125	43.75	-1.26869808397792	2.84693231371608e-92
chr11	120313400	120315800	Actg1	59	33	35	48	-1.78787878787879	1.37142857142857	43.75	-0.512915509970005	2.41192415902441e-94
chr12	112578300	112582200	Inf2	54	41	28	51	-1.31707317073171	1.82142857142857	43.5	0.684441028550913	1.60067860017896e-60
